Id,Name,Area,Slovene,Value
1A,Consonant Inventories,Phonology,N,
2A,Vowel Quality Inventories,Phonology,N,
3A,Consonant-Vowel Ratio,Phonology,N,
4A,Voicing in Plosives and Fricatives,Phonology,N,
5A,Voicing and Gaps in Plosive Systems,Phonology,N,
6A,Uvular Consonants,Phonology,N,
7A,Glottalized Consonants,Phonology,N,
8A,Lateral Consonants,Phonology,N,
9A,The Velar Nasal,Phonology,N,
10A,Vowel Nasalization,Phonology,N,
10B,Nasal Vowels in West Africa,Phonology,N,
11A,Front Rounded Vowels,Phonology,N,
12A,Syllable Structure,Phonology,N,
13A,Tone,Phonology,N,
14A,Fixed Stress Locations,Phonology,Y,No fixed stress
15A,Weight-Sensitive Stress,Phonology,Y,Unbounded: Stress can be anywhere
16A,Weight Factors in Weight-Sensitive Stress Systems,Phonology,Y,Prominence
17A,Rhythm Types,Phonology,Y,No rhythmic stress
18A,Absence of Common Consonants,Phonology,N,
19A,Presence of Uncommon Consonants,Phonology,N,
20A,Fusion of Selected Inflectional Formatives,Morphology,N,
21A,Exponence of Selected Inflectional Formatives,Morphology,N,
21B,Exponence of Tense-Aspect-Mood Inflection,Morphology,N,
22A,Inflectional Synthesis of the Verb,Morphology,N,
23A,Locus of Marking in the Clause,Morphology,N,
24A,Locus of Marking in Possessive Noun Phrases,Morphology,N,
25A,Locus of Marking: Whole-language Typology,Morphology,N,
25B,Zero Marking of A and P Arguments,Morphology,N,
26A,Prefixing vs. Suffixing in Inflectional Morphology,Morphology,Y,Strongly suffixing
27A,Reduplication,Morphology,N,
28A,Case Syncretism,Morphology,N,
29A,Syncretism in Verbal Person/Number Marking,Morphology,N,
30A,Number of Genders,Nominal Categories,N,
31A,Sex-based and Non-sex-based Gender Systems,Nominal Categories,N,
32A,Systems of Gender Assignment,Nominal Categories,N,
33A,Coding of Nominal Plurality,Nominal Categories,Y,Plural suffix
34A,Occurrence of Nominal Plurality,Nominal Categories,N,
35A,Plurality in Independent Personal Pronouns,Nominal Categories,N,
36A,The Associative Plural,Nominal Categories,N,
37A,Definite Articles,Nominal Categories,N,
38A,Indefinite Articles,Nominal Categories,N,
39A,Inclusive/Exclusive Distinction in Independent Pronouns,Nominal Categories,N,
39B,Inclusive/Exclusive Forms in Pama-Nyungan,Nominal Categories,N,
40A,Inclusive/Exclusive Distinction in Verbal Inflection,Nominal Categories,N,
41A,Distance Contrasts in Demonstratives,Nominal Categories,N,
42A,Pronominal and Adnominal Demonstratives,Nominal Categories,N,
43A,Third Person Pronouns and Demonstratives,Nominal Categories,N,
44A,Gender Distinctions in Independent Personal Pronouns,Nominal Categories,N,
45A,Politeness Distinctions in Pronouns,Nominal Categories,N,
46A,Indefinite Pronouns,Nominal Categories,N,
47A,Intensifiers and Reflexive Pronouns,Nominal Categories,N,
48A,Person Marking on Adpositions,Nominal Categories,N,
49A,Number of Cases,Nominal Categories,N,
50A,Asymmetrical Case-Marking,Nominal Categories,N,
51A,Position of Case Affixes,Nominal Categories,Y,Case suffixes
52A,Comitatives and Instrumentals,Nominal Categories,N,
53A,Ordinal Numerals,Nominal Categories,Y,"First, second, three-th"
54A,Distributive Numerals,Nominal Categories,N,
55A,Numeral Classifiers,Nominal Categories,N,
56A,Conjunctions and Universal Quantifiers,Nominal Categories,N,
57A,Position of Pronominal Possessive Affixes,Nominal Categories,N,
58A,Obligatory Possessive Inflection,Nominal Syntax,N,
58B,Number of Possessive Nouns,Nominal Syntax,N,
59A,Possessive Classification,Nominal Syntax,N,
60A,"Genitives, Adjectives and Relative Clauses",Nominal Syntax,N,
61A,Adjectives without Nouns,Nominal Syntax,N,
62A,Action Nominal Constructions,Nominal Syntax,N,
63A,Noun Phrase Conjunction,Nominal Syntax,N,
64A,Nominal and Verbal Conjunction,Nominal Syntax,N,
65A,Perfective/Imperfective Aspect,Verbal Categories,N,
66A,The Past Tense,Verbal Categories,N,
67A,The Future Tense,Verbal Categories,N,
68A,The Perfect,Verbal Categories,N,
69A,Position of Tense-Aspect Affixes,Verbal Categories,N,
70A,The Morphological Imperative,Verbal Categories,Y,Second singular and second plural
71A,The Prohibitive,Verbal Categories,Y,Normal imperative + normal negative
72A,Imperative-Hortative Systems,Verbal Categories,Y,Neither type of system
73A,The Optative,Verbal Categories,Y,Inflectional optative absent
74A,Situational Possibility,Verbal Categories,Y,Verbal constructions
75A,Epistemic Possibility,Verbal Categories,Y,Other
76A,Overlap between Situational and Epistemic Modal Marking,Verbal Categories,Y,Overlap for both possibility and necessity
77A,Semantic Distinctions of Evidentiality,Verbal Categories,N,
78A,Coding of Evidentiality,Verbal Categories,N,
79A,Suppletion According to Tense and Aspect,Verbal Categories,Y,Tense and aspect
79B,Suppletion in Imperatives and Hortatives,Verbal Categories,Y,None (= no suppletive imperatives reported in the reference material)
80A,Verbal Number and Suppletion,Verbal Categories,Y,
81A,"Order of Subject, Object and Verb",Word Order,Y,SVO
81B,"Languages with two Dominant Orders of Subject, Object, and Verb",Word Order,N,
82A,Order of Subject and Verb,Word Order,Y,SV
83A,Order of Object and Verb,Word Order,Y,VO
84A,"Order of Object, Oblique, and Verb",Word Order,N,
85A,Order of Adposition and Noun Phrase,Word Order,Y,Prepositions
86A,Order of Genitive and Noun,Word Order,Y,No dominant order
87A,Order of Adjective and Noun,Word Order,Y,Adjective-Noun
88A,Order of Demonstrative and Noun,Word Order,Y,Demonstrative-Noun
