Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node
plavut <nsubj ima >obj plavutnic	plavut	ima	plavutnic	4	15.0	ABC	"pattern {B [form=""ima""]; A [form=""plavut""]; C [form=""plavutnic""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ima%22%5D%3B%20A%20%5Bform%3D%22plavut%22%5D%3B%20C%20%5Bform%3D%22plavutnic%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ima
Kaj <obj to <nsubj pomeni	Kaj	to	pomeni	2	7.5	ABC	"pattern {C [form=""pomeni""]; A [form=""Kaj""]; B [form=""to""]; C -[obj]-> A; C -[nsubj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22pomeni%22%5D%3B%20A%20%5Bform%3D%22Kaj%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20C%20-%5Bobj%5D-%3E%20A%3B%20C%20-%5Bnsubj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	pomeni
POGODBO <obj ODPOVEDUJE >nsubj DELAVEC	POGODBO	ODPOVEDUJE	DELAVEC	2	7.5	ABC	"pattern {B [form=""ODPOVEDUJE""]; A [form=""POGODBO""]; C [form=""DELAVEC""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ODPOVEDUJE%22%5D%3B%20A%20%5Bform%3D%22POGODBO%22%5D%3B%20C%20%5Bform%3D%22DELAVEC%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	ODPOVEDUJE
PRAVICE <obj IZVRŠUJE >nsubj PREDSTOJNIK	PRAVICE	IZVRŠUJE	PREDSTOJNIK	2	7.5	ABC	"pattern {B [form=""IZVRŠUJE""]; A [form=""PRAVICE""]; C [form=""PREDSTOJNIK""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22IZVR%C5%A0UJE%22%5D%3B%20A%20%5Bform%3D%22PRAVICE%22%5D%3B%20C%20%5Bform%3D%22PREDSTOJNIK%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	IZVRŠUJE
bitna <nsubj omogoča >obj barv	bitna	omogoča	barv	2	7.5	ABC	"pattern {B [form=""omogoča""]; A [form=""bitna""]; C [form=""barv""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22omogo%C4%8Da%22%5D%3B%20A%20%5Bform%3D%22bitna%22%5D%3B%20C%20%5Bform%3D%22barv%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	omogoča
bitna <nsubj omogoča >obj prikaz	bitna	omogoča	prikaz	2	7.5	ABC	"pattern {B [form=""omogoča""]; A [form=""bitna""]; C [form=""prikaz""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22omogo%C4%8Da%22%5D%3B%20A%20%5Bform%3D%22bitna%22%5D%3B%20C%20%5Bform%3D%22prikaz%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	omogoča
jih <obj države <nsubj poslale	jih	države	poslale	2	7.5	ABC	"pattern {C [form=""poslale""]; A [form=""jih""]; B [form=""države""]; C -[obj]-> A; C -[nsubj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22poslale%22%5D%3B%20A%20%5Bform%3D%22jih%22%5D%3B%20B%20%5Bform%3D%22dr%C5%BEave%22%5D%3B%20C%20-%5Bobj%5D-%3E%20A%3B%20C%20-%5Bnsubj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	poslale
kaj <obj to <nsubj pomeni	kaj	to	pomeni	2	7.5	ABC	"pattern {C [form=""pomeni""]; A [form=""kaj""]; B [form=""to""]; C -[obj]-> A; C -[nsubj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22pomeni%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20C%20-%5Bobj%5D-%3E%20A%3B%20C%20-%5Bnsubj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	pomeni
kar <nsubj mi <obj zdi	kar	mi	zdi	2	7.5	ABC	"pattern {C [form=""zdi""]; A [form=""kar""]; B [form=""mi""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22zdi%22%5D%3B%20A%20%5Bform%3D%22kar%22%5D%3B%20B%20%5Bform%3D%22mi%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	zdi
mu <obj to <nsubj uspelo	mu	to	uspelo	2	7.5	ABC	"pattern {C [form=""uspelo""]; A [form=""mu""]; B [form=""to""]; C -[obj]-> A; C -[nsubj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22uspelo%22%5D%3B%20A%20%5Bform%3D%22mu%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20C%20-%5Bobj%5D-%3E%20A%3B%20C%20-%5Bnsubj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	uspelo
otroci <nsubj samozaznave <obj primerjajo	otroci	samozaznave	primerjajo	2	7.5	ABC	"pattern {C [form=""primerjajo""]; A [form=""otroci""]; B [form=""samozaznave""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bform%3D%22primerjajo%22%5D%3B%20A%20%5Bform%3D%22otroci%22%5D%3B%20B%20%5Bform%3D%22samozaznave%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	primerjajo
zmagovalec <nsubj dobil >obj točk	zmagovalec	dobil	točk	2	7.5	ABC	"pattern {B [form=""dobil""]; A [form=""zmagovalec""]; C [form=""točk""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dobil%22%5D%3B%20A%20%5Bform%3D%22zmagovalec%22%5D%3B%20C%20%5Bform%3D%22to%C4%8Dk%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	dobil
% <nsubj dobi >obj tolarjev	%	dobi	tolarjev	1	3.7	ABC	"pattern {B [form=""dobi""]; A [form=""%""]; C [form=""tolarjev""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22dobi%22%5D%3B%20A%20%5Bform%3D%22%25%22%5D%3B%20C%20%5Bform%3D%22tolarjev%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	dobi
% <nsubj stori >obj samomor	%	stori	samomor	1	3.7	ABC	"pattern {B [form=""stori""]; A [form=""%""]; C [form=""samomor""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22stori%22%5D%3B%20A%20%5Bform%3D%22%25%22%5D%3B%20C%20%5Bform%3D%22samomor%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	stori
% <nsubj zavrnilo >obj predlog	%	zavrnilo	predlog	1	3.7	ABC	"pattern {B [form=""zavrnilo""]; A [form=""%""]; C [form=""predlog""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zavrnilo%22%5D%3B%20A%20%5Bform%3D%22%25%22%5D%3B%20C%20%5Bform%3D%22predlog%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	zavrnilo
% <obj povzroči >nsubj zastrupitev	%	povzroči	zastrupitev	1	3.7	ABC	"pattern {B [form=""povzroči""]; A [form=""%""]; C [form=""zastrupitev""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22povzro%C4%8Di%22%5D%3B%20A%20%5Bform%3D%22%25%22%5D%3B%20C%20%5Bform%3D%22zastrupitev%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	povzroči
