Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node
kaj <obj jaz <nsubj vem	kaj	jaz	vem	5	65.5	ABC	"pattern {C [form=""vem""]; A [form=""kaj""]; B [form=""jaz""]; C -[obj]-> A; C -[nsubj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22vem%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20%5Bform%3D%22jaz%22%5D%3B%20C%20-%5Bobj%5D-%3E%20A%3B%20C%20-%5Bnsubj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	vem
kaj <obj to <nsubj pomeni	kaj	to	pomeni	5	65.5	ABC	"pattern {C [form=""pomeni""]; A [form=""kaj""]; B [form=""to""]; C -[obj]-> A; C -[nsubj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22pomeni%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20C%20-%5Bobj%5D-%3E%20A%3B%20C%20-%5Bnsubj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	pomeni
mi <obj je >nsubj poklic	mi	je	poklic	5	65.5	ABC	"pattern {B [form=""je""]; A [form=""mi""]; C [form=""poklic""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22je%22%5D%3B%20A%20%5Bform%3D%22mi%22%5D%3B%20C%20%5Bform%3D%22poklic%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	je
to <nsubj mi <obj zdi	to	mi	zdi	3	39.3	ABC	"pattern {C [form=""zdi""]; A [form=""to""]; B [form=""mi""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22zdi%22%5D%3B%20A%20%5Bform%3D%22to%22%5D%3B%20B%20%5Bform%3D%22mi%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	zdi
aktiv <nsubj dobi >obj rezultat	aktiv	dobi	rezultat	2	26.2	ABC	"pattern {B [form=""dobi""]; A [form=""aktiv""]; C [form=""rezultat""]; B -[nsubj]-> A; B -[obj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22dobi%22%5D%3B%20A%20%5Bform%3D%22aktiv%22%5D%3B%20C%20%5Bform%3D%22rezultat%22%5D%3B%20B%20-%5Bnsubj%5D-%3E%20A%3B%20B%20-%5Bobj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	dobi
jaz <nsubj ga <obj spomnim	jaz	ga	spomnim	2	26.2	ABC	"pattern {C [form=""spomnim""]; A [form=""jaz""]; B [form=""ga""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22spomnim%22%5D%3B%20A%20%5Bform%3D%22jaz%22%5D%3B%20B%20%5Bform%3D%22ga%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	spomnim
kaj <obj ti <nsubj govoriš	kaj	ti	govoriš	2	26.2	ABC	"pattern {C [form=""govoriš""]; A [form=""kaj""]; B [form=""ti""]; C -[obj]-> A; C -[nsubj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22govori%C5%A1%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20%5Bform%3D%22ti%22%5D%3B%20C%20-%5Bobj%5D-%3E%20A%3B%20C%20-%5Bnsubj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	govoriš
kaj <obj vi <nsubj pravite	kaj	vi	pravite	2	26.2	ABC	"pattern {C [form=""pravite""]; A [form=""kaj""]; B [form=""vi""]; C -[obj]-> A; C -[nsubj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22pravite%22%5D%3B%20A%20%5Bform%3D%22kaj%22%5D%3B%20B%20%5Bform%3D%22vi%22%5D%3B%20C%20-%5Bobj%5D-%3E%20A%3B%20C%20-%5Bnsubj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	pravite
kar <nsubj mi <obj zdi	kar	mi	zdi	2	26.2	ABC	"pattern {C [form=""zdi""]; A [form=""kar""]; B [form=""mi""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22zdi%22%5D%3B%20A%20%5Bform%3D%22kar%22%5D%3B%20B%20%5Bform%3D%22mi%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	zdi
kar <nsubj tega <obj tiče	kar	tega	tiče	2	26.2	ABC	"pattern {C [form=""tiče""]; A [form=""kar""]; B [form=""tega""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22ti%C4%8De%22%5D%3B%20A%20%5Bform%3D%22kar%22%5D%3B%20B%20%5Bform%3D%22tega%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	tiče
kdo <nsubj ga <obj zagleda	kdo	ga	zagleda	2	26.2	ABC	"pattern {C [form=""zagleda""]; A [form=""kdo""]; B [form=""ga""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22zagleda%22%5D%3B%20A%20%5Bform%3D%22kdo%22%5D%3B%20B%20%5Bform%3D%22ga%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	zagleda
kraj <nsubj vam <obj je	kraj	vam	je	2	26.2	ABC	"pattern {C [form=""je""]; A [form=""kraj""]; B [form=""vam""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22je%22%5D%3B%20A%20%5Bform%3D%22kraj%22%5D%3B%20B%20%5Bform%3D%22vam%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	je
mi <nsubj tega <obj predlagali	mi	tega	predlagali	2	26.2	ABC	"pattern {C [form=""predlagali""]; A [form=""mi""]; B [form=""tega""]; C -[nsubj]-> A; C -[obj]-> B; C >> A; C >> B}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BC%20%5Bform%3D%22predlagali%22%5D%3B%20A%20%5Bform%3D%22mi%22%5D%3B%20B%20%5Bform%3D%22tega%22%5D%3B%20C%20-%5Bnsubj%5D-%3E%20A%3B%20C%20-%5Bobj%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	predlagali
mi <obj bil >nsubj film	mi	bil	film	2	26.2	ABC	"pattern {B [form=""bil""]; A [form=""mi""]; C [form=""film""]; B -[obj]-> A; B -[nsubj]-> C; B >> A; B << C}"	http://universal.grew.fr/?corpus=UD_Slovenian-SST&request=pattern%20%7BB%20%5Bform%3D%22bil%22%5D%3B%20A%20%5Bform%3D%22mi%22%5D%3B%20C%20%5Bform%3D%22film%22%5D%3B%20B%20-%5Bobj%5D-%3E%20A%3B%20B%20-%5Bnsubj%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D	3	bil
