Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
تتضمن >nsubj بعض >obj متطلبات	تتضمن	بعض	متطلبات	2	7.4	ABC	3	تتضمن
تتطلب >nsubj تأشيرة >obj إثبات	تتطلب	تأشيرة	إثبات	2	7.4	ABC	3	تتطلب
تستخدم >nsubj اللغة >obj الأحرف	تستخدم	اللغة	الأحرف	2	7.4	ABC	3	تستخدم
تضم >nsubj المدينة >obj مباني	تضم	المدينة	مباني	2	7.4	ABC	3	تضم
تعتبر >nsubj اللغة >obj أحد	تعتبر	اللغة	أحد	2	7.4	ABC	3	تعتبر
حققت >nsubj الشركة >obj نجاحاً	حققت	الشركة	نجاحاً	2	7.4	ABC	3	حققت
شهد >nsubj العصر >obj تغيرًا	شهد	العصر	تغيرًا	2	7.4	ABC	3	شهد
يلعب >nsubj النجم >obj دور	يلعب	النجم	دور	2	7.4	ABC	3	يلعب
يمتلك >nsubj بعض >obj القدرة	يمتلك	بعض	القدرة	2	7.4	ABC	3	يمتلك
The <nsubj has >obj potential	The	has	potential	1	3.7	ABC	3	has
The <nsubj includes >obj hunting	The	includes	hunting	1	3.7	ABC	3	includes
region <nsubj has >obj potential	region	has	potential	1	3.7	ABC	3	has
آراء <nsubj جعلت >obj أساليب	آراء	جعلت	أساليب	1	3.7	ABC	3	جعلت
أتاح >nsubj النوع >obj المجال	أتاح	النوع	المجال	1	3.7	ABC	3	أتاح
أثار >nsubj استخدام >obj بعض	أثار	استخدام	بعض	1	3.7	ABC	3	أثار
أثار >nsubj اكتشاف >obj الفضول	أثار	اكتشاف	الفضول	1	3.7	ABC	3	أثار
أثارت >nsubj الحركة >obj انقساماً	أثارت	الحركة	انقساماً	1	3.7	ABC	3	أثارت
أثبت >nsubj الدواء >obj فعالية	أثبت	الدواء	فعالية	1	3.7	ABC	3	أثبت
أسس >nsubj الملك >obj متحفاً	أسس	الملك	متحفاً	1	3.7	ABC	3	أسس
أصبح >nsubj الاتحاد >obj الشريك	أصبح	الاتحاد	الشريك	1	3.7	ABC	3	أصبح
أصبحت >nsubj الباروكية >obj عنصراً	أصبحت	الباروكية	عنصراً	1	3.7	ABC	3	أصبحت
أصبحت >nsubj التقنية >obj محل	أصبحت	التقنية	محل	1	3.7	ABC	3	أصبحت
أصبحت >nsubj المدينة >obj مركزًا	أصبحت	المدينة	مركزًا	1	3.7	ABC	3	أصبحت
أصبحت >nsubj تغطية >obj عملاً	أصبحت	تغطية	عملاً	1	3.7	ABC	3	أصبحت
أصبحت >nsubj عاصمة >obj إسطنبول	أصبحت	عاصمة	إسطنبول	1	3.7	ABC	3	أصبحت
أصدرت >nsubj شركة >obj البرنامج	أصدرت	شركة	البرنامج	1	3.7	ABC	3	أصدرت
أطلقت >nsubj الحكومات >obj مشاريع	أطلقت	الحكومات	مشاريع	1	3.7	ABC	3	أطلقت
أظهرت >nsubj البحوث >obj ضمان	أظهرت	البحوث	ضمان	1	3.7	ABC	3	أظهرت
أعلن >nsubj الحوثيون >obj السيطرة	أعلن	الحوثيون	السيطرة	1	3.7	ABC	3	أعلن
أعلنت >nsubj إسرائيل >obj الحرب	أعلنت	إسرائيل	الحرب	1	3.7	ABC	3	أعلنت
أعلنت >nsubj الولايات >obj الحرب	أعلنت	الولايات	الحرب	1	3.7	ABC	3	أعلنت
أعمال <nsubj تشكّل >obj قيماً	أعمال	تشكّل	قيماً	1	3.7	ABC	3	تشكّل
أكملت >nsubj دولة >obj طريق	أكملت	دولة	طريق	1	3.7	ABC	3	أكملت
أنعشت >nsubj التكنولوجيا >obj المجال	أنعشت	التكنولوجيا	المجال	1	3.7	ABC	3	أنعشت
إرساب <nsubj يشير >obj إرسال	إرساب	يشير	إرسال	1	3.7	ABC	3	يشير
إرساب <nsubj يمثل >obj العملية	إرساب	يمثل	العملية	1	3.7	ABC	3	يمثل
ابتكر >nsubj الأكاديون >obj الآلات	ابتكر	الأكاديون	الآلات	1	3.7	ABC	3	ابتكر
اتخذ >nsubj شقيق >obj الحكم	اتخذ	شقيق	الحكم	1	3.7	ABC	3	اتخذ
اتخذت >nsubj الصيدلية >obj صفة	اتخذت	الصيدلية	صفة	1	3.7	ABC	3	اتخذت
احتلت >nsubj الثعابين >obj مكانة	احتلت	الثعابين	مكانة	1	3.7	ABC	3	احتلت
ارتداء <nsubj يمثل >obj الأمن	ارتداء	يمثل	الأمن	1	3.7	ABC	3	يمثل
استطاع >nsubj العلماء >obj تحديد	استطاع	العلماء	تحديد	1	3.7	ABC	3	استطاع
استطاع >nsubj المسلسل >obj الحصول	استطاع	المسلسل	الحصول	1	3.7	ABC	3	استطاع
استغلت >nsubj الحكومة >obj المدينة	استغلت	الحكومة	المدينة	1	3.7	ABC	3	استغلت
استمرت >nsubj شعبية >obj المغامرة	استمرت	شعبية	المغامرة	1	3.7	ABC	3	استمرت
اسم <nsubj يعني >obj الأرض	اسم	يعني	الأرض	1	3.7	ABC	3	يعني
اسم <nsubj يعني >obj الرجل	اسم	يعني	الرجل	1	3.7	ABC	3	يعني
اسم <nsubj يعني >obj ملك	اسم	يعني	ملك	1	3.7	ABC	3	يعني
اعتبر >nsubj الفراعنة >obj أحد	اعتبر	الفراعنة	أحد	1	3.7	ABC	3	اعتبر
اعتبرت >nsubj شيعة >obj خيانة	اعتبرت	شيعة	خيانة	1	3.7	ABC	3	اعتبرت
اعتمدت >nsubj الحركة >obj فكرة	اعتمدت	الحركة	فكرة	1	3.7	ABC	3	اعتمدت
اعتنقت >nsubj قبائل >obj الإسلام	اعتنقت	قبائل	الإسلام	1	3.7	ABC	3	اعتنقت
اعتُبر >nsubj الأدموب >obj رمزًا	اعتُبر	الأدموب	رمزًا	1	3.7	ABC	3	اعتُبر
اكتسب >nsubj العلماء >obj فهمًا	اكتسب	العلماء	فهمًا	1	3.7	ABC	3	اكتسب
اكتشف >nsubj أحد >obj بقايا	اكتشف	أحد	بقايا	1	3.7	ABC	3	اكتشف
الآلهة <nsubj تمثل >obj العناصر	الآلهة	تمثل	العناصر	1	3.7	ABC	3	تمثل
الأحرف <nsubj تشمل >obj هجاء	الأحرف	تشمل	هجاء	1	3.7	ABC	3	تشمل
الأشخاص <nsubj يستطيعون >obj تأثير	الأشخاص	يستطيعون	تأثير	1	3.7	ABC	3	يستطيعون
الأعمال <nsubj تؤهل >obj الإنسان	الأعمال	تؤهل	الإنسان	1	3.7	ABC	3	تؤهل
الأغنية <nsubj تدعم >obj الفرد	الأغنية	تدعم	الفرد	1	3.7	ABC	3	تدعم
الأفكار <nsubj تلائم >obj حاجات	الأفكار	تلائم	حاجات	1	3.7	ABC	3	تلائم
الأمر <nsubj يعزز >obj الجمال	الأمر	يعزز	الجمال	1	3.7	ABC	3	يعزز
الأيض <nsubj يتطلب >obj كمية	الأيض	يتطلب	كمية	1	3.7	ABC	3	يتطلب
الإلحاد <nsubj يصف >obj الأفراد	الإلحاد	يصف	الأفراد	1	3.7	ABC	3	يصف
الإمبراطورية <nsubj شكلت >obj إحدى	الإمبراطورية	شكلت	إحدى	1	3.7	ABC	3	شكلت
الاحتلال <nsubj يمثل >obj خرقًا	الاحتلال	يمثل	خرقًا	1	3.7	ABC	3	يمثل
الاغتيال <nsubj يتطلب >obj تحديد	الاغتيال	يتطلب	تحديد	1	3.7	ABC	3	يتطلب
الاغتيال <nsubj يرتفع >obj معدل	الاغتيال	يرتفع	معدل	1	3.7	ABC	3	يرتفع
البعض <nsubj يرون >obj المرور	البعض	يرون	المرور	1	3.7	ABC	3	يرون
البعض <nsubj يرون >obj فرصة	البعض	يرون	فرصة	1	3.7	ABC	3	يرون
البعض <nsubj يفقد >obj أوراق	البعض	يفقد	أوراق	1	3.7	ABC	3	يفقد
التحديات <nsubj تحتم >obj بذل	التحديات	تحتم	بذل	1	3.7	ABC	3	تحتم
التركيز <nsubj يفقد >obj المنظور	التركيز	يفقد	المنظور	1	3.7	ABC	3	يفقد
التزيين <nsubj يشمل >obj عمل	التزيين	يشمل	عمل	1	3.7	ABC	3	يشمل
التصميم <nsubj يتطلب >obj دقة	التصميم	يتطلب	دقة	1	3.7	ABC	3	يتطلب
التقنية <nsubj تحقق >obj نتائج	التقنية	تحقق	نتائج	1	3.7	ABC	3	تحقق
التنصير <nsubj يمثلان >obj تحدياً	التنصير	يمثلان	تحدياً	1	3.7	ABC	3	يمثلان
الثواب <nsubj يلعب >obj دورًا	الثواب	يلعب	دورًا	1	3.7	ABC	3	يلعب
الجبال <nsubj تجعل >obj مثالية	الجبال	تجعل	مثالية	1	3.7	ABC	3	تجعل
الحجاز <nsubj يجذب >obj أعداد	الحجاز	يجذب	أعداد	1	3.7	ABC	3	يجذب
الحرب <nsubj تشكِّل >obj إحدى	الحرب	تشكِّل	إحدى	1	3.7	ABC	3	تشكِّل
الحشرات <nsubj تصيب >obj الحيوانات	الحشرات	تصيب	الحيوانات	1	3.7	ABC	3	تصيب
الخطوط <nsubj تبين >obj لوناً	الخطوط	تبين	لوناً	1	3.7	ABC	3	تبين
الدراسات <nsubj تحدث >obj فهمًا	الدراسات	تحدث	فهمًا	1	3.7	ABC	3	تحدث
الدولة <nsubj خوضت >obj الحروب	الدولة	خوضت	الحروب	1	3.7	ABC	3	خوضت
الريش <nsubj يمنع >obj الماء	الريش	يمنع	الماء	1	3.7	ABC	3	يمنع
الزكاة <nsubj تمثل >obj جزءًا	الزكاة	تمثل	جزءًا	1	3.7	ABC	3	تمثل
الزواج <nsubj يمنح >obj الأشخاص	الزواج	يمنح	الأشخاص	1	3.7	ABC	3	يمنح
الزواج <nsubj يمنح >obj دوراً	الزواج	يمنح	دوراً	1	3.7	ABC	3	يمنح
الشركة <nsubj أصبحت >obj شركة	الشركة	أصبحت	شركة	1	3.7	ABC	3	أصبحت
الشركة <nsubj تتحدى >obj الدعاوى	الشركة	تتحدى	الدعاوى	1	3.7	ABC	3	تتحدى
الشركة <nsubj تقدم >obj حلولًا	الشركة	تقدم	حلولًا	1	3.7	ABC	3	تقدم
الصناعات <nsubj تشمل >obj السيارات	الصناعات	تشمل	السيارات	1	3.7	ABC	3	تشمل
الطليعة <nsubj تعتبر >obj وسيلة	الطليعة	تعتبر	وسيلة	1	3.7	ABC	3	تعتبر
الطيور <nsubj تشكل >obj سربًا	الطيور	تشكل	سربًا	1	3.7	ABC	3	تشكل
العبارة <nsubj تلخص >obj التفكير	العبارة	تلخص	التفكير	1	3.7	ABC	3	تلخص
العصر <nsubj شهد >obj تغييرات	العصر	شهد	تغييرات	1	3.7	ABC	3	شهد
العقل <nsubj يستطيع >obj إيجاد	العقل	يستطيع	إيجاد	1	3.7	ABC	3	يستطيع
العقيدات <nsubj تكوّن >obj شبكة	العقيدات	تكوّن	شبكة	1	3.7	ABC	3	تكوّن
العلاج <nsubj يوفر >obj مجموعة	العلاج	يوفر	مجموعة	1	3.7	ABC	3	يوفر
العمل <nsubj يتطلب >obj مهارات	العمل	يتطلب	مهارات	1	3.7	ABC	3	يتطلب
العوامل <nsubj تلعب >obj دوراً	العوامل	تلعب	دوراً	1	3.7	ABC	3	تلعب
العيون <nsubj تمثل >obj قوة	العيون	تمثل	قوة	1	3.7	ABC	3	تمثل
الفجوات <nsubj تشكل >obj بيئة	الفجوات	تشكل	بيئة	1	3.7	ABC	3	تشكل
الفرد <nsubj يقدر >obj قيمات	الفرد	يقدر	قيمات	1	3.7	ABC	3	يقدر
الفكر <nsubj يستخدم >obj اللائمة	الفكر	يستخدم	اللائمة	1	3.7	ABC	3	يستخدم
الفلسفة <nsubj تواصل >obj التأثير	الفلسفة	تواصل	التأثير	1	3.7	ABC	3	تواصل
الفيروس <nsubj يسمى >obj فيروس	الفيروس	يسمى	فيروس	1	3.7	ABC	3	يسمى
الفيروسات <nsubj تملك >obj منظومة	الفيروسات	تملك	منظومة	1	3.7	ABC	3	تملك
الفيلة <nsubj تستخدم >obj أنياب	الفيلة	تستخدم	أنياب	1	3.7	ABC	3	تستخدم
الفيلم <nsubj يتلقى >obj إشادة	الفيلم	يتلقى	إشادة	1	3.7	ABC	3	يتلقى
الكلمات <nsubj أثارت >obj غضب	الكلمات	أثارت	غضب	1	3.7	ABC	3	أثارت
اللعبة <nsubj تستكمل >obj قائمة	اللعبة	تستكمل	قائمة	1	3.7	ABC	3	تستكمل
اللغة <nsubj عرفت >obj علم	اللغة	عرفت	علم	1	3.7	ABC	3	عرفت
اللوحة <nsubj تدعم >obj اللغات	اللوحة	تدعم	اللغات	1	3.7	ABC	3	تدعم
المثالية <nsubj تعني >obj الحالة	المثالية	تعني	الحالة	1	3.7	ABC	3	تعني
المجلة <nsubj أصبحت >obj مرجعًا	المجلة	أصبحت	مرجعًا	1	3.7	ABC	3	أصبحت
المدينة <nsubj تضم >obj مجموعة	المدينة	تضم	مجموعة	1	3.7	ABC	3	تضم
المسلسل <nsubj يأخذ >obj خيال	المسلسل	يأخذ	خيال	1	3.7	ABC	3	يأخذ
المسلمين <nsubj فقدوا >obj مكانة	المسلمين	فقدوا	مكانة	1	3.7	ABC	3	فقدوا
المقامة <nsubj تأخذ >obj الطابع	المقامة	تأخذ	الطابع	1	3.7	ABC	3	تأخذ
الملك <nsubj أثار >obj الفتن	الملك	أثار	الفتن	1	3.7	ABC	3	أثار
الممارسة <nsubj يساعد >obj الفرد	الممارسة	يساعد	الفرد	1	3.7	ABC	3	يساعد
المناطق <nsubj تشهد >obj تساقط	المناطق	تشهد	تساقط	1	3.7	ABC	3	تشهد
المنتجات <nsubj تحمل >obj مخاطر	المنتجات	تحمل	مخاطر	1	3.7	ABC	3	تحمل
النباتات <nsubj تستطيع >obj التعامل	النباتات	تستطيع	التعامل	1	3.7	ABC	3	تستطيع
النجوم <nsubj تمثل >obj مفتاحاً	النجوم	تمثل	مفتاحاً	1	3.7	ABC	3	تمثل
النوى <nsubj تمتلك >obj طاقة	النوى	تمتلك	طاقة	1	3.7	ABC	3	تمتلك
الهندسة <nsubj تتطلب >obj معرفة	الهندسة	تتطلب	معرفة	1	3.7	ABC	3	تتطلب
الوكالة <nsubj تغطي >obj جميع	الوكالة	تغطي	جميع	1	3.7	ABC	3	تغطي
بدأ >nsubj الإمام >obj بناء	بدأ	الإمام	بناء	1	3.7	ABC	3	بدأ
بدأ >nsubj العاملون >obj محاولة	بدأ	العاملون	محاولة	1	3.7	ABC	3	بدأ
بدأ >nsubj العرب >obj استيراد	بدأ	العرب	استيراد	1	3.7	ABC	3	بدأ
بدأ >nsubj العلماء >obj البحث	بدأ	العلماء	البحث	1	3.7	ABC	3	بدأ
بدأت >nsubj الحكومة >obj جهوداً	بدأت	الحكومة	جهوداً	1	3.7	ABC	3	بدأت
بدأت >nsubj الفرقة >obj مسيرة	بدأت	الفرقة	مسيرة	1	3.7	ABC	3	بدأت
بعض <nsubj تستخدم >obj السنة	بعض	تستخدم	السنة	1	3.7	ABC	3	تستخدم
بعض <nsubj تستخدم >obj المشاهد	بعض	تستخدم	المشاهد	1	3.7	ABC	3	تستخدم
بعض <nsubj تشمل >obj البترول	بعض	تشمل	البترول	1	3.7	ABC	3	تشمل
بعض <nsubj تشمل >obj الفشل	بعض	تشمل	الفشل	1	3.7	ABC	3	تشمل
بعض <nsubj تطلب >obj ترك	بعض	تطلب	ترك	1	3.7	ABC	3	تطلب
بعض <nsubj تقدس >obj الفظ	بعض	تقدس	الفظ	1	3.7	ABC	3	تقدس
بعض <nsubj تمنح >obj العفو	بعض	تمنح	العفو	1	3.7	ABC	3	تمنح
بعض <nsubj تنتظر >obj مدة	بعض	تنتظر	مدة	1	3.7	ABC	3	تنتظر
بعض <nsubj توفر >obj مزايا	بعض	توفر	مزايا	1	3.7	ABC	3	توفر
بعض <nsubj خفضت >obj قانونية	بعض	خفضت	قانونية	1	3.7	ABC	3	خفضت
بعض <nsubj شكلت >obj رأيًا	بعض	شكلت	رأيًا	1	3.7	ABC	3	شكلت
بعض <nsubj يتشاركوا >obj ملفات	بعض	يتشاركوا	ملفات	1	3.7	ABC	3	يتشاركوا
بعض <nsubj يحمل >obj اسماء	بعض	يحمل	اسماء	1	3.7	ABC	3	يحمل
بعض <nsubj يحوي >obj بعض	بعض	يحوي	بعض	1	3.7	ABC	3	يحوي
بعض <nsubj يستخدم >obj حلقات	بعض	يستخدم	حلقات	1	3.7	ABC	3	يستخدم
بعض <nsubj يستخدمون >obj مهارات	بعض	يستخدمون	مهارات	1	3.7	ABC	3	يستخدمون
بعض <nsubj يستطع >obj الخروج	بعض	يستطع	الخروج	1	3.7	ABC	3	يستطع
بعض <nsubj يعتبرون >obj أمر	بعض	يعتبرون	أمر	1	3.7	ABC	3	يعتبرون
بعض <nsubj يعتبرون >obj التنصير	بعض	يعتبرون	التنصير	1	3.7	ABC	3	يعتبرون
بعض <nsubj يمتلك >obj المكنسة	بعض	يمتلك	المكنسة	1	3.7	ABC	3	يمتلك
بلغت >nsubj قوة >obj ذروة	بلغت	قوة	ذروة	1	3.7	ABC	3	بلغت
تأخذ >nsubj درجات >obj أهمية	تأخذ	درجات	أهمية	1	3.7	ABC	3	تأخذ
تؤمن >nsubj المستعمرات >obj التضامن	تؤمن	المستعمرات	التضامن	1	3.7	ABC	3	تؤمن
تؤمن >nsubj بعض >obj مقر	تؤمن	بعض	مقر	1	3.7	ABC	3	تؤمن
تابع >nsubj الاتحاد >obj بنية	تابع	الاتحاد	بنية	1	3.7	ABC	3	تابع
تابعت >nsubj الدولة >obj تدهور	تابعت	الدولة	تدهور	1	3.7	ABC	3	تابعت
تبقى >nsubj المدينة >obj مكانًا	تبقى	المدينة	مكانًا	1	3.7	ABC	3	تبقى
تبلغ >nsubj أسماك >obj النضج	تبلغ	أسماك	النضج	1	3.7	ABC	3	تبلغ
تبلغ >nsubj الأنثى >obj سن	تبلغ	الأنثى	سن	1	3.7	ABC	3	تبلغ
تبنت >nsubj الحكومات >obj استغلال	تبنت	الحكومات	استغلال	1	3.7	ABC	3	تبنت
تبني >nsubj الشركة >obj نهجًا	تبني	الشركة	نهجًا	1	3.7	ABC	3	تبني
تبيع >nsubj البائعون >obj الأغذية	تبيع	البائعون	الأغذية	1	3.7	ABC	3	تبيع
تتبع >nsubj القصة >obj العلاقة	تتبع	القصة	العلاقة	1	3.7	ABC	3	تتبع
تتبع >nsubj معظم >obj منهجية	تتبع	معظم	منهجية	1	3.7	ABC	3	تتبع
تتبنى >nsubj الإمارة >obj مواقف	تتبنى	الإمارة	مواقف	1	3.7	ABC	3	تتبنى
تتحدث >nsubj المجموعة >obj اللغة	تتحدث	المجموعة	اللغة	1	3.7	ABC	3	تتحدث
تتحدث >nsubj محافظات >obj لغات	تتحدث	محافظات	لغات	1	3.7	ABC	3	تتحدث
تتخذ >nsubj العوامل >obj دورًا	تتخذ	العوامل	دورًا	1	3.7	ABC	3	تتخذ
تتساقط >nsubj الأمطار >obj الندية	تتساقط	الأمطار	الندية	1	3.7	ABC	3	تتساقط
تتضمن >nsubj الأساطير >obj حكايات	تتضمن	الأساطير	حكايات	1	3.7	ABC	3	تتضمن
