Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
أصبحت >nsubj المدينة >obj مركزا	أصبحت	المدينة	مركزا	4	7.5	ABC	3	أصبحت
أصبحت >nsubj البحوث >obj صناعات	أصبحت	البحوث	صناعات	2	3.8	ABC	3	أصبحت
أعطت >nsubj الشريعة >obj حق	أعطت	الشريعة	حق	2	3.8	ABC	3	أعطت
باعت >nsubj شركة >obj مجموعة	باعت	شركة	مجموعة	2	3.8	ABC	3	باعت
تشكّل >nsubj طريق >obj حدود	تشكّل	طريق	حدود	2	3.8	ABC	3	تشكّل
تشمل >nsubj الآثار >obj مشاكل	تشمل	الآثار	مشاكل	2	3.8	ABC	3	تشمل
تعتبر >nsubj مدينة >obj عاصمة	تعتبر	مدينة	عاصمة	2	3.8	ABC	3	تعتبر
شهد >nsubj القرن >obj تأسيس	شهد	القرن	تأسيس	2	3.8	ABC	3	شهد
مدرس <nsubj يطلب >obj دفتر	مدرس	يطلب	دفتر	2	3.8	ABC	3	يطلب
يبين >nsubj الخط >obj تغير	يبين	الخط	تغير	2	3.8	ABC	3	يبين
يغطي >nsubj جسم >obj طبقة	يغطي	جسم	طبقة	2	3.8	ABC	3	يغطي
يمثل >nsubj العدد >obj رقم	يمثل	العدد	رقم	2	3.8	ABC	3	يمثل
Blackout <nsubj أخذ >obj أسطوانة	Blackout	أخذ	أسطوانة	1	1.9	ABC	3	أخذ
آتاهم >nsubj اللَّهُ >obj ثَوابَ	آتاهم	اللَّهُ	ثَوابَ	1	1.9	ABC	3	آتاهم
أتاحت >nsubj متانة >obj إمكانية	أتاحت	متانة	إمكانية	1	1.9	ABC	3	أتاحت
أتباع <nsubj يتبعون >obj أنبياء	أتباع	يتبعون	أنبياء	1	1.9	ABC	3	يتبعون
أتم >nsubj جوهر >obj فتح	أتم	جوهر	فتح	1	1.9	ABC	3	أتم
أثار >nsubj انتخاب >obj احتجاجات	أثار	انتخاب	احتجاجات	1	1.9	ABC	3	أثار
أثارت >nsubj إعادة >obj الجدل	أثارت	إعادة	الجدل	1	1.9	ABC	3	أثارت
أثبت >nsubj الباحثون >obj نجاح	أثبت	الباحثون	نجاح	1	1.9	ABC	3	أثبت
أثبتت >nsubj الاختبارات >obj نفق	أثبتت	الاختبارات	نفق	1	1.9	ABC	3	أثبتت
أثبتت >nsubj المركبة >obj مدمرة	أثبتت	المركبة	مدمرة	1	1.9	ABC	3	أثبتت
أثرت >nsubj الفرقة >obj تأثيرًا	أثرت	الفرقة	تأثيرًا	1	1.9	ABC	3	أثرت
أجرت >nsubj المنظمة >obj الاتصالات	أجرت	المنظمة	الاتصالات	1	1.9	ABC	3	أجرت
أحد <nsubj تستمد >obj طاقة	أحد	تستمد	طاقة	1	1.9	ABC	3	تستمد
أحد <nsubj جمع >obj بضعة	أحد	جمع	بضعة	1	1.9	ABC	3	جمع
أحد <nsubj صارت >obj مكانا	أحد	صارت	مكانا	1	1.9	ABC	3	صارت
أحد <nsubj يقيس >obj الحركات	أحد	يقيس	الحركات	1	1.9	ABC	3	يقيس
أحرز >nsubj الفريق >obj لقب	أحرز	الفريق	لقب	1	1.9	ABC	3	أحرز
أخذ >nsubj المهاجرين >obj لغة	أخذ	المهاجرين	لغة	1	1.9	ABC	3	أخذ
أخذ >nsubj كُلاً >obj جزء	أخذ	كُلاً	جزء	1	1.9	ABC	3	أخذ
أخذت >nsubj رحلة >obj وقتا	أخذت	رحلة	وقتا	1	1.9	ABC	3	أخذت
أخطاء <nsubj تنفي >obj الإسلام	أخطاء	تنفي	الإسلام	1	1.9	ABC	3	تنفي
أخطاء <nsubj تنفي >obj التصوف	أخطاء	تنفي	التصوف	1	1.9	ABC	3	تنفي
أدانت >nsubj السلطات >obj عمل	أدانت	السلطات	عمل	1	1.9	ABC	3	أدانت
أدخل >nsubj الأدب >obj أساليب	أدخل	الأدب	أساليب	1	1.9	ABC	3	أدخل
أدرجت >nsubj منظمة >obj المدينة	أدرجت	منظمة	المدينة	1	1.9	ABC	3	أدرجت
أدرجت >nsubj منظمة >obj مدينة	أدرجت	منظمة	مدينة	1	1.9	ABC	3	أدرجت
أدرك >nsubj عالم >obj غير	أدرك	عالم	غير	1	1.9	ABC	3	أدرك
أدلة <nsubj يبين >obj كيفية	أدلة	يبين	كيفية	1	1.9	ABC	3	يبين
أراد >nsubj أحد >obj ممارسة	أراد	أحد	ممارسة	1	1.9	ABC	3	أراد
أراد >nsubj بديع >obj إظهار	أراد	بديع	إظهار	1	1.9	ABC	3	أراد
أراضي <nsubj يمارسون >obj الأديان	أراضي	يمارسون	الأديان	1	1.9	ABC	3	يمارسون
أرجل <nsubj يتيح >obj قدرة	أرجل	يتيح	قدرة	1	1.9	ABC	3	يتيح
أرخبيل <obj ترجع >nsubj شهرة	أرخبيل	ترجع	شهرة	1	1.9	ABC	3	ترجع
أرسل >nsubj السلطان >obj قوات	أرسل	السلطان	قوات	1	1.9	ABC	3	أرسل
أرسل >nsubj الفاطميُّون >obj جيشًا	أرسل	الفاطميُّون	جيشًا	1	1.9	ABC	3	أرسل
أرسلت >nsubj المنظمة >obj بعثات	أرسلت	المنظمة	بعثات	1	1.9	ABC	3	أرسلت
أرسلت >nsubj كلٌ >obj سفناً	أرسلت	كلٌ	سفناً	1	1.9	ABC	3	أرسلت
أستضافت >nsubj قطر >obj كأس	أستضافت	قطر	كأس	1	1.9	ABC	3	أستضافت
أستغل >nsubj العباسيون >obj ضعف	أستغل	العباسيون	ضعف	1	1.9	ABC	3	أستغل
أسس >nsubj أحد >obj الزاوية	أسس	أحد	الزاوية	1	1.9	ABC	3	أسس
أسس >nsubj أعضاء >obj جمهورية	أسس	أعضاء	جمهورية	1	1.9	ABC	3	أسس
أسس >nsubj الأعضاء >obj فروع	أسس	الأعضاء	فروع	1	1.9	ABC	3	أسس
أسس >nsubj الجنرال >obj مستودع	أسس	الجنرال	مستودع	1	1.9	ABC	3	أسس
أسس >nsubj الحجاج >obj مستعمرة	أسس	الحجاج	مستعمرة	1	1.9	ABC	3	أسس
أسس >nsubj الصوت >obj تناغمًا	أسس	الصوت	تناغمًا	1	1.9	ABC	3	أسس
أسس >nsubj المزيد >obj مستعمرة	أسس	المزيد	مستعمرة	1	1.9	ABC	3	أسس
أسس >nsubj كيميائيون >obj التركيب	أسس	كيميائيون	التركيب	1	1.9	ABC	3	أسس
أسس >nsubj مستوطنون >obj مستعمرتي	أسس	مستوطنون	مستعمرتي	1	1.9	ABC	3	أسس
أسس >obj مستودع >nsubj جامعة	أسس	مستودع	جامعة	1	1.9	ABC	3	أسس
أسست >nsubj القبيلة >obj مملكة	أسست	القبيلة	مملكة	1	1.9	ABC	3	أسست
أسست >nsubj عائلة >obj مراكز	أسست	عائلة	مراكز	1	1.9	ABC	3	أسست
أسست >nsubj مجموعة >obj أعمال	أسست	مجموعة	أعمال	1	1.9	ABC	3	أسست
أسسوا >obj إحدى >nsubj علماء	أسسوا	إحدى	علماء	1	1.9	ABC	3	أسسوا
أسسوا >obj إمارة >nsubj خطة	أسسوا	إمارة	خطة	1	1.9	ABC	3	أسسوا
أسماء <nsubj تشمل >obj الدرك	أسماء	تشمل	الدرك	1	1.9	ABC	3	تشمل
أسندت >nsubj السلطات >obj مهمة	أسندت	السلطات	مهمة	1	1.9	ABC	3	أسندت
أصبح >nsubj الاحتلال >obj جزءاً	أصبح	الاحتلال	جزءاً	1	1.9	ABC	3	أصبح
أصبح >nsubj المصنع >obj قاعدت	أصبح	المصنع	قاعدت	1	1.9	ABC	3	أصبح
أصبح >nsubj المنطق >obj علمًا	أصبح	المنطق	علمًا	1	1.9	ABC	3	أصبح
أصبح >nsubj تأسيس >obj عنصراً	أصبح	تأسيس	عنصراً	1	1.9	ABC	3	أصبح
أصبح >obj متحفا >nsubj منابع	أصبح	متحفا	منابع	1	1.9	ABC	3	أصبح
أصبحت >nsubj الأحزاب >obj جزءًا	أصبحت	الأحزاب	جزءًا	1	1.9	ABC	3	أصبحت
أصبحت >nsubj الدولة >obj دولةً	أصبحت	الدولة	دولةً	1	1.9	ABC	3	أصبحت
أصبحت >nsubj الدولة >obj عضوًا	أصبحت	الدولة	عضوًا	1	1.9	ABC	3	أصبحت
أصبحت >nsubj العاصمة >obj مركزا	أصبحت	العاصمة	مركزا	1	1.9	ABC	3	أصبحت
أصبحت >nsubj الفلبين >obj المركز	أصبحت	الفلبين	المركز	1	1.9	ABC	3	أصبحت
أصبحت >nsubj المدينة >obj جزءاً	أصبحت	المدينة	جزءاً	1	1.9	ABC	3	أصبحت
أصبحت >nsubj المدينة >obj موقعًا	أصبحت	المدينة	موقعًا	1	1.9	ABC	3	أصبحت
أصبحت >nsubj المنطقة >obj جزءًا	أصبحت	المنطقة	جزءًا	1	1.9	ABC	3	أصبحت
أصبحت >nsubj بعض >obj منظمات	أصبحت	بعض	منظمات	1	1.9	ABC	3	أصبحت
أصبحت >nsubj جزر >obj امتداداً	أصبحت	جزر	امتداداً	1	1.9	ABC	3	أصبحت
أصدر >nsubj الملك >obj مرسوماً	أصدر	الملك	مرسوماً	1	1.9	ABC	3	أصدر
أصدر >nsubj فريق >obj مطبوعة	أصدر	فريق	مطبوعة	1	1.9	ABC	3	أصدر
أصدرت >nsubj الرئيسة >obj الأمر	أصدرت	الرئيسة	الأمر	1	1.9	ABC	3	أصدرت
أصدرت >nsubj المحكمة >obj قرارات	أصدرت	المحكمة	قرارات	1	1.9	ABC	3	أصدرت
أصدرت >nsubj منظمة >obj بياناً	أصدرت	منظمة	بياناً	1	1.9	ABC	3	أصدرت
أصدرت >nsubj هيئة >obj تحذير	أصدرت	هيئة	تحذير	1	1.9	ABC	3	أصدرت
أصدرت >nsubj وزارة >obj بيانًا	أصدرت	وزارة	بيانًا	1	1.9	ABC	3	أصدرت
أصل <nsubj يقال >obj نخلة	أصل	يقال	نخلة	1	1.9	ABC	3	يقال
أصيب >nsubj حاكم >obj إصابة	أصيب	حاكم	إصابة	1	1.9	ABC	3	أصيب
أطلق >nsubj الإستعمار >obj ساحل	أطلق	الإستعمار	ساحل	1	1.9	ABC	3	أطلق
أطلق >nsubj الاتحاد >obj القمر	أطلق	الاتحاد	القمر	1	1.9	ABC	3	أطلق
أطلق >nsubj الصيادلة >obj الاسم	أطلق	الصيادلة	الاسم	1	1.9	ABC	3	أطلق
أطلق >nsubj العرب >obj بلدان	أطلق	العرب	بلدان	1	1.9	ABC	3	أطلق
أطلق >nsubj الفرس >obj اسم	أطلق	الفرس	اسم	1	1.9	ABC	3	أطلق
أطلق >nsubj الفريق >obj البومين	أطلق	الفريق	البومين	1	1.9	ABC	3	أطلق
أطلق >nsubj المستعمرون >obj القوانين	أطلق	المستعمرون	القوانين	1	1.9	ABC	3	أطلق
أطلق >nsubj المعلق >obj لقب	أطلق	المعلق	لقب	1	1.9	ABC	3	أطلق
أطلق >nsubj المُستشرق >obj تسمية	أطلق	المُستشرق	تسمية	1	1.9	ABC	3	أطلق
أطلق >nsubj الناقد >obj الاسم	أطلق	الناقد	الاسم	1	1.9	ABC	3	أطلق
أطلق >nsubj النبي >obj لقب	أطلق	النبي	لقب	1	1.9	ABC	3	أطلق
أطلق >obj اسم >nsubj معظم	أطلق	اسم	معظم	1	1.9	ABC	3	أطلق
أطلقت >nsubj العرب >obj تسمية	أطلقت	العرب	تسمية	1	1.9	ABC	3	أطلقت
أطلقت >nsubj الهند >obj الحاسوب	أطلقت	الهند	الحاسوب	1	1.9	ABC	3	أطلقت
أطلقت >obj تسمية >nsubj أصل	أطلقت	تسمية	أصل	1	1.9	ABC	3	أطلقت
أظهر >nsubj الثوم >obj خصائص	أظهر	الثوم	خصائص	1	1.9	ABC	3	أظهر
أظهر >nsubj الحكام >obj اهتماماً	أظهر	الحكام	اهتماماً	1	1.9	ABC	3	أظهر
أظهر >nsubj تحليل >obj طفرة	أظهر	تحليل	طفرة	1	1.9	ABC	3	أظهر
أظهرت >nsubj الاختبارات >obj نتائج	أظهرت	الاختبارات	نتائج	1	1.9	ABC	3	أظهرت
أظهرت >nsubj الحفريات >obj أدلة	أظهرت	الحفريات	أدلة	1	1.9	ABC	3	أظهرت
أظهرت >nsubj الدراسات >obj وجود	أظهرت	الدراسات	وجود	1	1.9	ABC	3	أظهرت
أظهرت >nsubj حكومة >obj صفات	أظهرت	حكومة	صفات	1	1.9	ABC	3	أظهرت
أعاد >nsubj العلماء >obj تعريف	أعاد	العلماء	تعريف	1	1.9	ABC	3	أعاد
أعاد >nsubj الملك >obj بناء	أعاد	الملك	بناء	1	1.9	ABC	3	أعاد
أعاد >nsubj عُلماء >obj اكتشاف	أعاد	عُلماء	اكتشاف	1	1.9	ABC	3	أعاد
أعادت >nsubj الحكومة >obj السيطرة	أعادت	الحكومة	السيطرة	1	1.9	ABC	3	أعادت
أعادت >nsubj المجموعة >obj تنظيم	أعادت	المجموعة	تنظيم	1	1.9	ABC	3	أعادت
أعتقد >nsubj الفلاسفة >obj الحقيقة	أعتقد	الفلاسفة	الحقيقة	1	1.9	ABC	3	أعتقد
أعدادًا <nsubj تعكس >obj ضوء	أعدادًا	تعكس	ضوء	1	1.9	ABC	3	تعكس
أعدادًا <nsubj تنتظر >obj الوصف	أعدادًا	تنتظر	الوصف	1	1.9	ABC	3	تنتظر
أعطت >nsubj الآلهة >obj أرض	أعطت	الآلهة	أرض	1	1.9	ABC	3	أعطت
أعطى >nsubj اسم >obj اسم	أعطى	اسم	اسم	1	1.9	ABC	3	أعطى
أعطى >nsubj الرب >obj موهبتين	أعطى	الرب	موهبتين	1	1.9	ABC	3	أعطى
أعلن >nsubj ابن >obj ملكاً	أعلن	ابن	ملكاً	1	1.9	ABC	3	أعلن
أعلن >nsubj الرئيس >obj دولة	أعلن	الرئيس	دولة	1	1.9	ABC	3	أعلن
أعلن >nsubj المهاجم >obj قرار	أعلن	المهاجم	قرار	1	1.9	ABC	3	أعلن
أعلن >nsubj حاكم >obj انفصال	أعلن	حاكم	انفصال	1	1.9	ABC	3	أعلن
أعلن >nsubj عدد >obj تطلع	أعلن	عدد	تطلع	1	1.9	ABC	3	أعلن
أعلن >nsubj عدد >obj موافقة	أعلن	عدد	موافقة	1	1.9	ABC	3	أعلن
أعلنت >nsubj أوزبكستان >obj استقلال	أعلنت	أوزبكستان	استقلال	1	1.9	ABC	3	أعلنت
أعلنت >nsubj الجمهورية >obj الاستقلال	أعلنت	الجمهورية	الاستقلال	1	1.9	ABC	3	أعلنت
أعلنت >nsubj الحكومة >obj الاستقلال	أعلنت	الحكومة	الاستقلال	1	1.9	ABC	3	أعلنت
أعلنت >nsubj الهند >obj استقلال	أعلنت	الهند	استقلال	1	1.9	ABC	3	أعلنت
أعلنت >nsubj شركة >obj قرارا	أعلنت	شركة	قرارا	1	1.9	ABC	3	أعلنت
أعلنت >nsubj قلعة >obj درب	أعلنت	قلعة	درب	1	1.9	ABC	3	أعلنت
أفادت >nsubj القبائل >obj شاهدة	أفادت	القبائل	شاهدة	1	1.9	ABC	3	أفادت
أفراد <obj أختارت >nsubj نقابة	أفراد	أختارت	نقابة	1	1.9	ABC	3	أختارت
أفرد >obj القرية >nsubj الباحث	أفرد	القرية	الباحث	1	1.9	ABC	3	أفرد
أفعال <nsubj تستدعي >obj أساسًا	أفعال	تستدعي	أساسًا	1	1.9	ABC	3	تستدعي
أقام >nsubj بعض >obj تجمعات	أقام	بعض	تجمعات	1	1.9	ABC	3	أقام
أقامت >nsubj العاصمة >obj دورة	أقامت	العاصمة	دورة	1	1.9	ABC	3	أقامت
أقدم >nsubj ابن >obj النزاع	أقدم	ابن	النزاع	1	1.9	ABC	3	أقدم
أكد >nsubj أنصار >obj ضرورة	أكد	أنصار	ضرورة	1	1.9	ABC	3	أكد
أكد >nsubj البيان >obj تمسك	أكد	البيان	تمسك	1	1.9	ABC	3	أكد
أكدت >nsubj الحكومة >obj الفعل	أكدت	الحكومة	الفعل	1	1.9	ABC	3	أكدت
أكدت >nsubj الدنمارك >obj السيادة	أكدت	الدنمارك	السيادة	1	1.9	ABC	3	أكدت
أكسبة >nsubj الحالة >obj بعضا	أكسبة	الحالة	بعضا	1	1.9	ABC	3	أكسبة
أكمل >obj بناء >nsubj الزعيم	أكمل	بناء	الزعيم	1	1.9	ABC	3	أكمل
أكملت >nsubj منظمة >obj تقييما	أكملت	منظمة	تقييما	1	1.9	ABC	3	أكملت
ألقى >nsubj المصريون >obj دعم	ألقى	المصريون	دعم	1	1.9	ABC	3	ألقى
ألّف >nsubj المؤرخ >obj كتابا	ألّف	المؤرخ	كتابا	1	1.9	ABC	3	ألّف
ألّفت >nsubj النخبة >obj الطبقة	ألّفت	النخبة	الطبقة	1	1.9	ABC	3	ألّفت
أمضى >nsubj ابن >obj سنوات	أمضى	ابن	سنوات	1	1.9	ABC	3	أمضى
أنتج >nsubj الموسيقيون >obj شكلًا	أنتج	الموسيقيون	شكلًا	1	1.9	ABC	3	أنتج
أنزل >nsubj الله >obj وحي	أنزل	الله	وحي	1	1.9	ABC	3	أنزل
أنشأ >nsubj القانون >obj منطقة	أنشأ	القانون	منطقة	1	1.9	ABC	3	أنشأ
أنشأ >nsubj الكندي >obj مسلسلا	أنشأ	الكندي	مسلسلا	1	1.9	ABC	3	أنشأ
أنشأت >nsubj بعض >obj إمبراطوريات	أنشأت	بعض	إمبراطوريات	1	1.9	ABC	3	أنشأت
أنشاؤا >obj ديوانا >nsubj الشخص	أنشاؤا	ديوانا	الشخص	1	1.9	ABC	3	أنشاؤا
أنهت >nsubj الإبادة >obj الوجود	أنهت	الإبادة	الوجود	1	1.9	ABC	3	أنهت
أوجد >obj الدولة >nsubj مهندس	أوجد	الدولة	مهندس	1	1.9	ABC	3	أوجد
أوقعت >nsubj الواردات >obj آثاراً	أوقعت	الواردات	آثاراً	1	1.9	ABC	3	أوقعت
إبداع <nsubj تجاوز >obj حدود	إبداع	تجاوز	حدود	1	1.9	ABC	3	تجاوز
إحدى <nsubj تقدم >obj بعض	إحدى	تقدم	بعض	1	1.9	ABC	3	تقدم
إصدار <obj عرفت >nsubj الثورات	إصدار	عرفت	الثورات	1	1.9	ABC	3	عرفت
إعادة <nsubj يتطلب >obj جهدًا	إعادة	يتطلب	جهدًا	1	1.9	ABC	3	يتطلب
إنتاج <obj يعد >nsubj المستشرقون	إنتاج	يعد	المستشرقون	1	1.9	ABC	3	يعد
ابتكر >nsubj الإحاثي >obj اسم	ابتكر	الإحاثي	اسم	1	1.9	ABC	3	ابتكر
ابتكر >obj الشخصية >nsubj الفنان	ابتكر	الشخصية	الفنان	1	1.9	ABC	3	ابتكر
اتبع >nsubj معظم >obj تعاليم	اتبع	معظم	تعاليم	1	1.9	ABC	3	اتبع
اتبعت >nsubj الدول >obj سياسات	اتبعت	الدول	سياسات	1	1.9	ABC	3	اتبعت
اتخذت >nsubj الشركة >obj شعارًا	اتخذت	الشركة	شعارًا	1	1.9	ABC	3	اتخذت
اتخذت >nsubj الشركة >obj شكل	اتخذت	الشركة	شكل	1	1.9	ABC	3	اتخذت
اتخذت >nsubj الشركة >obj مقر	اتخذت	الشركة	مقر	1	1.9	ABC	3	اتخذت
اتخذت >nsubj العائلة >obj لقب	اتخذت	العائلة	لقب	1	1.9	ABC	3	اتخذت
اتهخذ >nsubj مدينة >obj قاعدةً	اتهخذ	مدينة	قاعدةً	1	1.9	ABC	3	اتهخذ
اتهمت >nsubj جبهة >obj التدخل	اتهمت	جبهة	التدخل	1	1.9	ABC	3	اتهمت
اجرى >nsubj خبراء >obj مجموعة	اجرى	خبراء	مجموعة	1	1.9	ABC	3	اجرى
احتل >nsubj الأتراك >obj بلاد	احتل	الأتراك	بلاد	1	1.9	ABC	3	احتل
احتل >nsubj الألمان >obj المدينة	احتل	الألمان	المدينة	1	1.9	ABC	3	احتل
احتل >nsubj الأمير >obj قسما	احتل	الأمير	قسما	1	1.9	ABC	3	احتل
احتل >nsubj الجيش >obj المدينة	احتل	الجيش	المدينة	1	1.9	ABC	3	احتل
احتل >nsubj الشيبانيون >obj أراضي	احتل	الشيبانيون	أراضي	1	1.9	ABC	3	احتل
احتل >nsubj النازيون >obj جزءًا	احتل	النازيون	جزءًا	1	1.9	ABC	3	احتل
