Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
управители <nsubj предложат >obj схеми	управители	предложат	схеми	10	10.5	ABC	3	предложат
публикация <nsubj печели >obj НАГРАДА	публикация	печели	НАГРАДА	9	9.5	ABC	3	печели
Директорът <nsubj извършил >obj проверка	Директорът	извършил	проверка	7	7.4	ABC	3	извършил
вода <nsubj осигури >obj водоснабдяване	вода	осигури	водоснабдяване	6	6.3	ABC	3	осигури
водач <nsubj предприел >obj маневра	водач	предприел	маневра	6	6.3	ABC	3	предприел
директорът <nsubj назначи >obj лице	директорът	назначи	лице	6	6.3	ABC	3	назначи
кандидат <nsubj получава >obj подкрепа	кандидат	получава	подкрепа	6	6.3	ABC	3	получава
партии <nsubj имат >obj корени	партии	имат	корени	6	6.3	ABC	3	имат
субсидия <nsubj надвишаваше >obj бюджета	субсидия	надвишаваше	бюджета	6	6.3	ABC	3	надвишаваше
Документите <nsubj дават >obj представа	Документите	дават	представа	5	5.3	ABC	3	дават
Екипът <nsubj носи >obj отговорност	Екипът	носи	отговорност	5	5.3	ABC	3	носи
Патриотите <nsubj поискали >obj министерства	Патриотите	поискали	министерства	5	5.3	ABC	3	поискали
Посещенията <nsubj бележат >obj ръст	Посещенията	бележат	ръст	5	5.3	ABC	3	бележат
Сайтът <nsubj носи >obj отговорност	Сайтът	носи	отговорност	5	5.3	ABC	3	носи
двойката <nsubj запазила >obj част	двойката	запазила	част	5	5.3	ABC	3	запазила
директорът <nsubj уведомил >obj лицето	директорът	уведомил	лицето	5	5.3	ABC	3	уведомил
дом <nsubj разпространи >obj сведения	дом	разпространи	сведения	5	5.3	ABC	3	разпространи
екипи <nsubj оказали >obj съдействие	екипи	оказали	съдействие	5	5.3	ABC	3	оказали
курсове <nsubj включват >obj образование	курсове	включват	образование	5	5.3	ABC	3	включват
мераците <nsubj срещнат >obj оценката	мераците	срещнат	оценката	5	5.3	ABC	3	срещнат
министри <nsubj запазят >obj постовете	министри	запазят	постовете	5	5.3	ABC	3	запазят
министър <nsubj изпратила >obj писмо	министър	изпратила	писмо	5	5.3	ABC	3	изпратила
министър <nsubj иска >obj съдействие	министър	иска	съдействие	5	5.3	ABC	3	иска
националистите <nsubj допуснат >obj компромиси	националистите	допуснат	компромиси	5	5.3	ABC	3	допуснат
президентът <nsubj дават >obj сведения	президентът	дават	сведения	5	5.3	ABC	3	дават
АЕЦ <nsubj имал >obj разходи	АЕЦ	имал	разходи	4	4.2	ABC	3	имал
Возилото <nsubj получи >obj прозвището	Возилото	получи	прозвището	4	4.2	ABC	3	получи
Д-р <nsubj представи >obj приоритетите	Д-р	представи	приоритетите	4	4.2	ABC	3	представи
Законът <nsubj обхваща >obj въпроси	Законът	обхваща	въпроси	4	4.2	ABC	3	обхваща
Законът <nsubj отмени >obj Закон	Законът	отмени	Закон	4	4.2	ABC	3	отмени
Заявлението <nsubj подкрепя >obj намаляването	Заявлението	подкрепя	намаляването	4	4.2	ABC	3	подкрепя
Иранците <nsubj правят >obj шеги	Иранците	правят	шеги	4	4.2	ABC	3	правят
КЗК <nsubj образува >obj производство	КЗК	образува	производство	4	4.2	ABC	3	образува
Клиентката <nsubj превела >obj сумата	Клиентката	превела	сумата	4	4.2	ABC	3	превела
Клуб <nsubj обявяват >obj конкурс	Клуб	обявяват	конкурс	4	4.2	ABC	3	обявяват
Кметът <nsubj посрещна >obj посланика	Кметът	посрещна	посланика	4	4.2	ABC	3	посрещна
Компанията <nsubj залага >obj увеличение	Компанията	залага	увеличение	4	4.2	ABC	3	залага
Наглостта <nsubj няма >obj граници	Наглостта	няма	граници	4	4.2	ABC	3	няма
Природозащитниците <nsubj полагат >obj усиля	Природозащитниците	полагат	усиля	4	4.2	ABC	3	полагат
Проектът <nsubj подобри >obj капацитета	Проектът	подобри	капацитета	4	4.2	ABC	3	подобри
Състав <nsubj потвърди >obj наказание	Състав	потвърди	наказание	4	4.2	ABC	3	потвърди
българите <nsubj имаха >obj възможност	българите	имаха	възможност	4	4.2	ABC	3	имаха
владетелят <nsubj поискал >obj риба	владетелят	поискал	риба	4	4.2	ABC	3	поискал
вратар <nsubj записал >obj мрежи	вратар	записал	мрежи	4	4.2	ABC	3	записал
децата <nsubj заключват >obj родители	децата	заключват	родители	4	4.2	ABC	3	заключват
законът <nsubj преобразува >obj закони	законът	преобразува	закони	4	4.2	ABC	3	преобразува
кадри <obj имат >nsubj партньори	кадри	имат	партньори	4	4.2	ABC	3	имат
калкан <nsubj заля >obj пазара	калкан	заля	пазара	4	4.2	ABC	3	заля
крал <nsubj имал >obj правото	крал	имал	правото	4	4.2	ABC	3	имал
кралят <nsubj познал >obj подмяната	кралят	познал	подмяната	4	4.2	ABC	3	познал
лидерът <nsubj коментира >obj призива	лидерът	коментира	призива	4	4.2	ABC	3	коментира
партии <nsubj намерят >obj език	партии	намерят	език	4	4.2	ABC	3	намерят
посланикът <nsubj изрази >obj радостта	посланикът	изрази	радостта	4	4.2	ABC	3	изрази
правителство <nsubj има >obj възможност	правителство	има	възможност	4	4.2	ABC	3	има
премерят >obj сили >nsubj фенове	премерят	сили	фенове	4	4.2	ABC	3	премерят
програма <nsubj носи >obj името	програма	носи	името	4	4.2	ABC	3	носи
проект <obj спечели >nsubj сдружение	проект	спечели	сдружение	4	4.2	ABC	3	спечели
прокуратура <nsubj внесе >obj акт	прокуратура	внесе	акт	4	4.2	ABC	3	внесе
спадът <nsubj засегнал >obj ТЕЦ	спадът	засегнал	ТЕЦ	4	4.2	ABC	3	засегнал
член <nsubj посочва >obj разказа	член	посочва	разказа	4	4.2	ABC	3	посочва
Tанц <nsubj радват >obj жители	Tанц	радват	жители	3	3.2	ABC	3	радват
Алергиите <nsubj представляват >obj отговор	Алергиите	представляват	отговор	3	3.2	ABC	3	представляват
Анкетата <nsubj отчита >obj нарастване	Анкетата	отчита	нарастване	3	3.2	ABC	3	отчита
Бизнесът <nsubj иска >obj правила	Бизнесът	иска	правила	3	3.2	ABC	3	иска
Блусът <nsubj носи >obj името	Блусът	носи	името	3	3.2	ABC	3	носи
Бургазлията <nsubj пробутал >obj книжка	Бургазлията	пробутал	книжка	3	3.2	ABC	3	пробутал
Българите <nsubj имаха >obj възможност	Българите	имаха	възможност	3	3.2	ABC	3	имаха
Ведомството <nsubj обявило >obj поръчката	Ведомството	обявило	поръчката	3	3.2	ABC	3	обявило
ДФ <nsubj одобри >obj заявления	ДФ	одобри	заявления	3	3.2	ABC	3	одобри
Евродепутатът <nsubj подчерта >obj роля	Евродепутатът	подчерта	роля	3	3.2	ABC	3	подчерта
Експертиза <nsubj откри >obj нарушения	Експертиза	откри	нарушения	3	3.2	ABC	3	откри
Заявлението <nsubj отразява >obj средства	Заявлението	отразява	средства	3	3.2	ABC	3	отразява
Звездата <nsubj коментира >obj живот	Звездата	коментира	живот	3	3.2	ABC	3	коментира
Изданието <nsubj цитира >obj министъра	Изданието	цитира	министъра	3	3.2	ABC	3	цитира
Комисията <nsubj обсъди >obj поскъпването	Комисията	обсъди	поскъпването	3	3.2	ABC	3	обсъди
Компанията <nsubj сглобяваше >obj модели	Компанията	сглобяваше	модели	3	3.2	ABC	3	сглобяваше
Компанията <nsubj създаде >obj мрежи	Компанията	създаде	мрежи	3	3.2	ABC	3	създаде
Кр. <nsubj подал >obj сигнал	Кр.	подал	сигнал	3	3.2	ABC	3	подал
Крал <nsubj получил >obj риба	Крал	получил	риба	3	3.2	ABC	3	получил
Левицата <nsubj има >obj принос	Левицата	има	принос	3	3.2	ABC	3	има
Левскарите <nsubj поискаха >obj дузпа	Левскарите	поискаха	дузпа	3	3.2	ABC	3	поискаха
Липсата <nsubj застрашава >obj кампания	Липсата	застрашава	кампания	3	3.2	ABC	3	застрашава
Министерство <nsubj изказва >obj благодарност	Министерство	изказва	благодарност	3	3.2	ABC	3	изказва
Министерство <nsubj оказа >obj съдействие	Министерство	оказа	съдействие	3	3.2	ABC	3	оказа
Министър <nsubj подчерта >obj значимостта	Министър	подчерта	значимостта	3	3.2	ABC	3	подчерта
Носителят <nsubj разкрие >obj тайните	Носителят	разкрие	тайните	3	3.2	ABC	3	разкрие
Община <nsubj организират >obj състезание	Община	организират	състезание	3	3.2	ABC	3	организират
Организацията <nsubj провежда >obj акция	Организацията	провежда	акция	3	3.2	ABC	3	провежда
Очичките <nsubj ронят >obj сълзи	Очичките	ронят	сълзи	3	3.2	ABC	3	ронят
Парламентът <nsubj отваря >obj врати	Парламентът	отваря	врати	3	3.2	ABC	3	отваря
Патриотите <nsubj имат >obj представа	Патриотите	имат	представа	3	3.2	ABC	3	имат
Пожар <nsubj става >obj повод	Пожар	става	повод	3	3.2	ABC	3	става
Председателят <nsubj поздрави >obj председателя	Председателят	поздрави	председателя	3	3.2	ABC	3	поздрави
Президентът <nsubj откри >obj форум	Президентът	откри	форум	3	3.2	ABC	3	откри
Президентът <nsubj подписа >obj укази	Президентът	подписа	укази	3	3.2	ABC	3	подписа
Премия <obj получат >nsubj колеги	Премия	получат	колеги	3	3.2	ABC	3	получат
Програмите <nsubj имали >obj черти	Програмите	имали	черти	3	3.2	ABC	3	имали
Процедура <nsubj завършил >obj университет	Процедура	завършил	университет	3	3.2	ABC	3	завършил
Психиатър <nsubj разпитва >obj пациент	Психиатър	разпитва	пациент	3	3.2	ABC	3	разпитва
Резултатът <nsubj възпроизвежда >obj парламент	Резултатът	възпроизвежда	парламент	3	3.2	ABC	3	възпроизвежда
Ръстът <nsubj надмине >obj ниво	Ръстът	надмине	ниво	3	3.2	ABC	3	надмине
Сесията <nsubj гласува >obj отчета	Сесията	гласува	отчета	3	3.2	ABC	3	гласува
Спътникът <nsubj хвърли >obj предмет	Спътникът	хвърли	предмет	3	3.2	ABC	3	хвърли
Страх <nsubj сковали >obj телевизиите	Страх	сковали	телевизиите	3	3.2	ABC	3	сковали
Сумата <nsubj включва >obj багажa	Сумата	включва	багажa	3	3.2	ABC	3	включва
Управлението <nsubj гарантира >obj стабилността	Управлението	гарантира	стабилността	3	3.2	ABC	3	гарантира
Участие <obj вземат >nsubj ученици	Участие	вземат	ученици	3	3.2	ABC	3	вземат
Участниците <nsubj представят >obj материал	Участниците	представят	материал	3	3.2	ABC	3	представят
Фондация <nsubj осигури >obj подкрепа	Фондация	осигури	подкрепа	3	3.2	ABC	3	осигури
Центърът <nsubj организират >obj прегледи	Центърът	организират	прегледи	3	3.2	ABC	3	организират
авиокомпанията <nsubj предоставя >obj отговор	авиокомпанията	предоставя	отговор	3	3.2	ABC	3	предоставя
агенция <nsubj изпълнила >obj функции	агенция	изпълнила	функции	3	3.2	ABC	3	изпълнила
адвокатка <nsubj възстановила >obj щетите	адвокатка	възстановила	щетите	3	3.2	ABC	3	възстановила
акт <nsubj затруднява >obj промяна	акт	затруднява	промяна	3	3.2	ABC	3	затруднява
актьори <nsubj прочетат >obj откъси	актьори	прочетат	откъси	3	3.2	ABC	3	прочетат
бизнесмен <nsubj теглил >obj хиляди	бизнесмен	теглил	хиляди	3	3.2	ABC	3	теглил
блондинката <nsubj разкри >obj факти	блондинката	разкри	факти	3	3.2	ABC	3	разкри
букмейкър <nsubj дава >obj предимство	букмейкър	дава	предимство	3	3.2	ABC	3	дава
вземат >obj участие >nsubj студенти	вземат	участие	студенти	3	3.2	ABC	3	вземат
взеха >obj участие >nsubj заместник-председателите	взеха	участие	заместник-председателите	3	3.2	ABC	3	взеха
вода <nsubj прекъсне >obj водоснабдяването	вода	прекъсне	водоснабдяването	3	3.2	ABC	3	прекъсне
вратар <nsubj хвана >obj топката	вратар	хвана	топката	3	3.2	ABC	3	хвана
г-жа <nsubj организира >obj натиск	г-жа	организира	натиск	3	3.2	ABC	3	организира
гостите <nsubj пропуснаха >obj положение	гостите	пропуснаха	положение	3	3.2	ABC	3	пропуснаха
граждани <nsubj гласуваха >obj подкрепа	граждани	гласуваха	подкрепа	3	3.2	ABC	3	гласуваха
дейности <nsubj осигурят >obj управление	дейности	осигурят	управление	3	3.2	ABC	3	осигурят
деца <nsubj получат >obj очила	деца	получат	очила	3	3.2	ABC	3	получат
джаджи <nsubj съдържали >obj колекция	джаджи	съдържали	колекция	3	3.2	ABC	3	съдържали
добричлия <nsubj изключил >obj хляба	добричлия	изключил	хляба	3	3.2	ABC	3	изключил
доказателства <nsubj разкриват >obj картина	доказателства	разкриват	картина	3	3.2	ABC	3	разкриват
дружество <nsubj внесе >obj предложение	дружество	внесе	предложение	3	3.2	ABC	3	внесе
държава <nsubj подпомогне >obj обучението	държава	подпомогне	обучението	3	3.2	ABC	3	подпомогне
дядо <nsubj започва >obj работа	дядо	започва	работа	3	3.2	ABC	3	започва
екстра <nsubj предлага >obj алтернативи	екстра	предлага	алтернативи	3	3.2	ABC	3	предлага
жителите <nsubj имат >obj нужда	жителите	имат	нужда	3	3.2	ABC	3	имат
заболяемост <nsubj засяга >obj хора	заболяемост	засяга	хора	3	3.2	ABC	3	засяга
завод <nsubj започва >obj производството	завод	започва	производството	3	3.2	ABC	3	започва
завод <nsubj пуска >obj бройки	завод	пуска	бройки	3	3.2	ABC	3	пуска
заводът <nsubj произвежда >obj колите	заводът	произвежда	колите	3	3.2	ABC	3	произвежда
заповед <nsubj гарантира >obj събирането	заповед	гарантира	събирането	3	3.2	ABC	3	гарантира
заявки <obj подали >nsubj отбора	заявки	подали	отбора	3	3.2	ABC	3	подали
звено <nsubj привлече >obj д-р	звено	привлече	д-р	3	3.2	ABC	3	привлече
значение <obj има >nsubj замърсяването	значение	има	замърсяването	3	3.2	ABC	3	има
избpaници <nsubj нямaт >obj жилищe	избpaници	нямaт	жилищe	3	3.2	ABC	3	нямaт
изпълнителят <nsubj предлага >obj алтернативи	изпълнителят	предлага	алтернативи	3	3.2	ABC	3	предлага
информираността <nsubj привлече >obj съмишленици	информираността	привлече	съмишленици	3	3.2	ABC	3	привлече
кабинет <nsubj отмени >obj наредбата	кабинет	отмени	наредбата	3	3.2	ABC	3	отмени
кампанията <nsubj набира >obj средства	кампанията	набира	средства	3	3.2	ABC	3	набира
кмет <nsubj заяви >obj амбицията	кмет	заяви	амбицията	3	3.2	ABC	3	заяви
кола <nsubj става >obj хит	кола	става	хит	3	3.2	ABC	3	става
комикът <nsubj впрегнал >obj връзки	комикът	впрегнал	връзки	3	3.2	ABC	3	впрегнал
куриер <nsubj отнесе >obj документите	куриер	отнесе	документите	3	3.2	ABC	3	отнесе
левицата <nsubj провеждаше >obj консултации	левицата	провеждаше	консултации	3	3.2	ABC	3	провеждаше
лекар <nsubj разказаха >obj спомени	лекар	разказаха	спомени	3	3.2	ABC	3	разказаха
летци <nsubj свалят >obj бомбардировача	летци	свалят	бомбардировача	3	3.2	ABC	3	свалят
лидерите <nsubj загърбят >obj егото	лидерите	загърбят	егото	3	3.2	ABC	3	загърбят
лицата <nsubj изпълняват >obj критериите	лицата	изпълняват	критериите	3	3.2	ABC	3	изпълняват
медиите <nsubj направили >obj опит	медиите	направили	опит	3	3.2	ABC	3	направили
мениджърите <nsubj предвиждат >obj запазване	мениджърите	предвиждат	запазване	3	3.2	ABC	3	предвиждат
министър <nsubj има >obj правомощия	министър	има	правомощия	3	3.2	ABC	3	има
министър <nsubj отправил >obj клевета	министър	отправил	клевета	3	3.2	ABC	3	отправил
музей <nsubj има >obj функция	музей	има	функция	3	3.2	ABC	3	има
музей <nsubj означава >obj среда	музей	означава	среда	3	3.2	ABC	3	означава
наредба <nsubj произвела >obj споразумение	наредба	произвела	споразумение	3	3.2	ABC	3	произвела
общност <nsubj дава >obj среща	общност	дава	среща	3	3.2	ABC	3	дава
органите <nsubj свършат >obj работата	органите	свършат	работата	3	3.2	ABC	3	свършат
партията <nsubj представила >obj тройка	партията	представила	тройка	3	3.2	ABC	3	представила
патриоти <nsubj имат >obj представители	патриоти	имат	представители	3	3.2	ABC	3	имат
патриоти <nsubj подпишат >obj споразумение	патриоти	подпишат	споразумение	3	3.2	ABC	3	подпишат
пациента <nsubj има >obj желание	пациента	има	желание	3	3.2	ABC	3	има
певица <nsubj обожава >obj картофки	певица	обожава	картофки	3	3.2	ABC	3	обожава
пенсия <nsubj стане >obj лв.	пенсия	стане	лв.	3	3.2	ABC	3	стане
плейбой <nsubj има >obj намерение	плейбой	има	намерение	3	3.2	ABC	3	има
пленумът <nsubj направи >obj анализ	пленумът	направи	анализ	3	3.2	ABC	3	направи
победата <nsubj има >obj значение	победата	има	значение	3	3.2	ABC	3	има
политик <nsubj потърси >obj убежище	политик	потърси	убежище	3	3.2	ABC	3	потърси
половината <nsubj имат >obj разстройство	половината	имат	разстройство	3	3.2	ABC	3	имат
поръчка <obj обяви >nsubj Министерство	поръчка	обяви	Министерство	3	3.2	ABC	3	обяви
посетителите <nsubj имат >obj възможност	посетителите	имат	възможност	3	3.2	ABC	3	имат
правителство <nsubj обяви >obj план	правителство	обяви	план	3	3.2	ABC	3	обяви
правителство <nsubj създаде >obj хаос	правителство	създаде	хаос	3	3.2	ABC	3	създаде
президентът <nsubj прави >obj консултации	президентът	прави	консултации	3	3.2	ABC	3	прави
президентът <nsubj провежда >obj консултации	президентът	провежда	консултации	3	3.2	ABC	3	провежда
пререкания <nsubj скапвали >obj отношенията	пререкания	скапвали	отношенията	3	3.2	ABC	3	скапвали
прокуратура <nsubj образува >obj производство	прокуратура	образува	производство	3	3.2	ABC	3	образува
прокуратура <nsubj прекратила >obj разследването	прокуратура	прекратила	разследването	3	3.2	ABC	3	прекратила
прокуратурата <nsubj създала >obj спънки	прокуратурата	създала	спънки	3	3.2	ABC	3	създала
работодателите <nsubj вдигнат >obj цените	работодателите	вдигнат	цените	3	3.2	ABC	3	вдигнат
резултат <nsubj определи >obj бъдещето	резултат	определи	бъдещето	3	3.2	ABC	3	определи
реферът <nsubj отсъди >obj дузпа	реферът	отсъди	дузпа	3	3.2	ABC	3	отсъди
решение <nsubj лишава >obj трибуната	решение	лишава	трибуната	3	3.2	ABC	3	лишава
риба <nsubj предизвикала >obj смях	риба	предизвикала	смях	3	3.2	ABC	3	предизвикала
родител <nsubj имат >obj нужда	родител	имат	нужда	3	3.2	ABC	3	имат
родителите <nsubj взели >obj мерки	родителите	взели	мерки	3	3.2	ABC	3	взели
роля <obj изиграла >nsubj интервенцията	роля	изиграла	интервенцията	3	3.2	ABC	3	изиграла
ръководители <nsubj демонстрират >obj действия	ръководители	демонстрират	действия	3	3.2	ABC	3	демонстрират
сила <nsubj получи >obj мандат	сила	получи	мандат	3	3.2	ABC	3	получи
сили <nsubj премерят >obj отбора	сили	премерят	отбора	3	3.2	ABC	3	премерят
