Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
ٹیم <nsubj رنز <obj بنا	ٹیم	رنز	بنا	5	33.8	ABC	3	بنا
عدالت <nsubj جرمانہ <obj کیا	عدالت	جرمانہ	کیا	4	27.1	ABC	3	کیا
ٹیم <nsubj رنز <obj بنائے	ٹیم	رنز	بنائے	4	27.1	ABC	3	بنائے
ٹیم <nsubj میچ <obj کھیلے	ٹیم	میچ	کھیلے	3	20.3	ABC	3	کھیلے
کمپنی <nsubj اشتہارات <obj دیے	کمپنی	اشتہارات	دیے	3	20.3	ABC	3	دیے
اداکاری <obj فینزنے <nsubj سراہا	اداکاری	فینزنے	سراہا	2	13.5	ABC	3	سراہا
حکومت <nsubj ٹیکس <obj کرے	حکومت	ٹیکس	کرے	2	13.5	ABC	3	کرے
خواتین <nsubj ہوئی >obj معاوضہ	خواتین	ہوئی	معاوضہ	2	13.5	ABC	3	ہوئی
رائے <nsubj خواتین <obj رکھتی	رائے	خواتین	رکھتی	2	13.5	ABC	3	رکھتی
سائنسدانوں <nsubj بینڈیج <obj کرلی	سائنسدانوں	بینڈیج	کرلی	2	13.5	ABC	3	کرلی
شائقین <nsubj فلم <obj دیکھ	شائقین	فلم	دیکھ	2	13.5	ABC	3	دیکھ
شاعر <nsubj عروج <obj بخشا	شاعر	عروج	بخشا	2	13.5	ABC	3	بخشا
عدالت <nsubj سزا <obj سنائی	عدالت	سزا	سنائی	2	13.5	ABC	3	سنائی
منصوبہ <nsubj موقع <obj کرے	منصوبہ	موقع	کرے	2	13.5	ABC	3	کرے
ٹیم <nsubj کارکردگی <obj دکھائے	ٹیم	کارکردگی	دکھائے	2	13.5	ABC	3	دکھائے
ٹیم <nsubj کامیابی <obj کی	ٹیم	کامیابی	کی	2	13.5	ABC	3	کی
پوزیشن <obj کرلی >nsubj ٹیم	پوزیشن	کرلی	ٹیم	2	13.5	ABC	3	کرلی
کارکردگی <nsubj کردار <obj کرے	کارکردگی	کردار	کرے	2	13.5	ABC	3	کرے
کر >nsubj باز >obj رنز	کر	باز	رنز	2	13.5	ABC	3	کر
کردار <obj کیا >nsubj کہانی	کردار	کیا	کہانی	2	13.5	ABC	3	کیا
کردیا >obj روپے >nsubj اضافہ	کردیا	روپے	اضافہ	2	13.5	ABC	3	کردیا
کرکٹر <nsubj داریاں <obj سنبھالیں	کرکٹر	داریاں	سنبھالیں	2	13.5	ABC	3	سنبھالیں
کمپنی <nsubj جرمانہ <obj کرنا	کمپنی	جرمانہ	کرنا	2	13.5	ABC	3	کرنا
کمپنی <nsubj روپے <obj کردی	کمپنی	روپے	کردی	2	13.5	ABC	3	کردی
کمپنی <nsubj کام <obj کررہی	کمپنی	کام	کررہی	2	13.5	ABC	3	کررہی
کپتان <nsubj کہا >obj معاملہ	کپتان	کہا	معاملہ	2	13.5	ABC	3	کہا
ہاضمہ <nsubj رکاوٹ <obj ہے	ہاضمہ	رکاوٹ	ہے	2	13.5	ABC	3	ہے
ہرا >nsubj اسکور >obj رنز	ہرا	اسکور	رنز	2	13.5	ABC	3	ہرا
ہوئی >nsubj کمپنی >obj معاوضہ	ہوئی	کمپنی	معاوضہ	2	13.5	ABC	3	ہوئی
ہوئی >obj معاوضہ >nsubj جج	ہوئی	معاوضہ	جج	2	13.5	ABC	3	ہوئی
ہوئی >obj معاوضہ >nsubj کمپنی	ہوئی	معاوضہ	کمپنی	2	13.5	ABC	3	ہوئی
ئینہ <nsubj چیز <obj کام	ئینہ	چیز	کام	1	6.8	ABC	3	کام
ابھار <nsubj کام <obj کرتے	ابھار	کام	کرتے	1	6.8	ABC	3	کرتے
اج <nsubj اضافہ <obj کیا	اج	اضافہ	کیا	1	6.8	ABC	3	کیا
احتجاج <nsubj ٹیکس <obj لینے	احتجاج	ٹیکس	لینے	1	6.8	ABC	3	لینے
اختیارات <nsubj معیشت <obj کر	اختیارات	معیشت	کر	1	6.8	ABC	3	کر
اداروں <nsubj انٹرویو <obj کیے	اداروں	انٹرویو	کیے	1	6.8	ABC	3	کیے
اداریے <nsubj بات <obj کرنا	اداریے	بات	کرنا	1	6.8	ABC	3	کرنا
ادارے <nsubj ریکارڈ <obj کیا	ادارے	ریکارڈ	کیا	1	6.8	ABC	3	کیا
ادارے <nsubj سرمایہ <obj کرے	ادارے	سرمایہ	کرے	1	6.8	ABC	3	کرے
اداکار <nsubj تقریب <obj دیکھ	اداکار	تقریب	دیکھ	1	6.8	ABC	3	دیکھ
اداکار <nsubj جذبات <obj کرسکتا	اداکار	جذبات	کرسکتا	1	6.8	ABC	3	کرسکتا
اداکار <nsubj لکھا >obj بچے	اداکار	لکھا	بچے	1	6.8	ABC	3	لکھا
اداکارائیں <nsubj نظر <obj ہیں	اداکارائیں	نظر	ہیں	1	6.8	ABC	3	ہیں
اداکاروں <nsubj خدمات <obj کرنا	اداکاروں	خدمات	کرنا	1	6.8	ABC	3	کرنا
اداکاروں <nsubj کام <obj کرنا	اداکاروں	کام	کرنا	1	6.8	ABC	3	کرنا
اداکاروں <obj کرسکی >nsubj کردار	اداکاروں	کرسکی	کردار	1	6.8	ABC	3	کرسکی
اداکارہ <nsubj بال <obj کٹوا	اداکارہ	بال	کٹوا	1	6.8	ABC	3	کٹوا
اداکارہ <nsubj شکریہ <obj کیا	اداکارہ	شکریہ	کیا	1	6.8	ABC	3	کیا
اداکارہ <nsubj عرصے <obj تھی	اداکارہ	عرصے	تھی	1	6.8	ABC	3	تھی
اداکارہ <nsubj مہم <obj کردی	اداکارہ	مہم	کردی	1	6.8	ABC	3	کردی
اداکاری <nsubj توجہ <obj کرلی	اداکاری	توجہ	کرلی	1	6.8	ABC	3	کرلی
ادکارہ <nsubj کام <obj کیا	ادکارہ	کام	کیا	1	6.8	ABC	3	کیا
ارٹسٹوں <nsubj ماڈلز <obj کرنے	ارٹسٹوں	ماڈلز	کرنے	1	6.8	ABC	3	کرنے
ارکان <nsubj پیشکش <obj کرائی	ارکان	پیشکش	کرائی	1	6.8	ABC	3	کرائی
استعمال <nsubj تحفظ <obj کرتا	استعمال	تحفظ	کرتا	1	6.8	ABC	3	کرتا
استعمال <nsubj خطرہ <obj بڑھا	استعمال	خطرہ	بڑھا	1	6.8	ABC	3	بڑھا
اسٹائلز <nsubj جان <obj بنے	اسٹائلز	جان	بنے	1	6.8	ABC	3	بنے
اسٹارز <nsubj چھٹیاں <obj منائیں	اسٹارز	چھٹیاں	منائیں	1	6.8	ABC	3	منائیں
اسٹیشن <nsubj نام <obj دیا	اسٹیشن	نام	دیا	1	6.8	ABC	3	دیا
اسٹیکر <nsubj کام <obj کرتا	اسٹیکر	کام	کرتا	1	6.8	ABC	3	کرتا
اسپنر <nsubj وکٹیں <obj ملا	اسپنر	وکٹیں	ملا	1	6.8	ABC	3	ملا
اسپنر <nsubj ہدف <obj ملا	اسپنر	ہدف	ملا	1	6.8	ABC	3	ملا
اسکور <obj کردیا >nsubj کھلاڑی	اسکور	کردیا	کھلاڑی	1	6.8	ABC	3	کردیا
اسکیمرز <nsubj وکرنسی <obj کی	اسکیمرز	وکرنسی	کی	1	6.8	ABC	3	کی
اصول <obj فنڈ <nsubj کرے	اصول	فنڈ	کرے	1	6.8	ABC	3	کرے
اضافہ <obj کیا >nsubj سسٹم	اضافہ	کیا	سسٹم	1	6.8	ABC	3	کیا
اعزاز <obj فلم <nsubj کیا	اعزاز	فلم	کیا	1	6.8	ABC	3	کیا
اعزاز <obj ویڈیو <nsubj کیا	اعزاز	ویڈیو	کیا	1	6.8	ABC	3	کیا
اعلان <nsubj کہا >obj گلہ	اعلان	کہا	گلہ	1	6.8	ABC	3	کہا
افراد <nsubj افواہیں <obj پھیلا	افراد	افواہیں	پھیلا	1	6.8	ABC	3	پھیلا
افراد <nsubj راستہ <obj بھول	افراد	راستہ	بھول	1	6.8	ABC	3	بھول
افراد <nsubj فیس <obj کی	افراد	فیس	کی	1	6.8	ABC	3	کی
افراد <nsubj مانگ >obj معافی	افراد	مانگ	معافی	1	6.8	ABC	3	مانگ
افراد <nsubj معلومات <obj کرتے	افراد	معلومات	کرتے	1	6.8	ABC	3	کرتے
اقداماتٹوئٹر <nsubj کہا >obj ذریعہ	اقداماتٹوئٹر	کہا	ذریعہ	1	6.8	ABC	3	کہا
امیدار <nsubj معاملے <obj دیکھ	امیدار	معاملے	دیکھ	1	6.8	ABC	3	دیکھ
امیدوار <nsubj ووٹ <obj لے	امیدوار	ووٹ	لے	1	6.8	ABC	3	لے
امیدوار <nsubj کاغذات <obj کرائے	امیدوار	کاغذات	کرائے	1	6.8	ABC	3	کرائے
انتخاب <obj ایا >nsubj کار	انتخاب	ایا	کار	1	6.8	ABC	3	ایا
انتظامیہ <nsubj روپے <obj لے	انتظامیہ	روپے	لے	1	6.8	ABC	3	لے
انتظامیہ <nsubj فیچرز <obj بنارہی	انتظامیہ	فیچرز	بنارہی	1	6.8	ABC	3	بنارہی
انتظامیہ <nsubj قارئین <obj کی	انتظامیہ	قارئین	کی	1	6.8	ABC	3	کی
انتظامیہ <nsubj معاملے <obj دیکھے	انتظامیہ	معاملے	دیکھے	1	6.8	ABC	3	دیکھے
انجینئروں <nsubj چپ <obj کرلی	انجینئروں	چپ	کرلی	1	6.8	ABC	3	کرلی
انداز <nsubj ریکارڈ <obj توڑ	انداز	ریکارڈ	توڑ	1	6.8	ABC	3	توڑ
انسان <nsubj حشرات <obj بناتے	انسان	حشرات	بناتے	1	6.8	ABC	3	بناتے
انمٹ <nsubj چھوڑ >obj سنچری	انمٹ	چھوڑ	سنچری	1	6.8	ABC	3	چھوڑ
اننگز <obj بناکر >nsubj اسکور	اننگز	بناکر	اسکور	1	6.8	ABC	3	بناکر
اننگز <obj ٹیم <nsubj کھیلی	اننگز	ٹیم	کھیلی	1	6.8	ABC	3	کھیلی
اننگز <obj کھیل >nsubj کھیل	اننگز	کھیل	کھیل	1	6.8	ABC	3	کھیل
انڈیکس <nsubj حد <obj کھو	انڈیکس	حد	کھو	1	6.8	ABC	3	کھو
انکشاف <nsubj میڈیکل الات <obj کیے	انکشاف	میڈیکل الات	کیے	1	6.8	ABC	3	کیے
