Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
تضم >nsubj المدينة >obj عددًا	تضم	المدينة	عددًا	4	4.6	ABC	3	تضم
شهد >nsubj العصر >obj تطورًا	شهد	العصر	تطورًا	4	4.6	ABC	3	شهد
تتولى >nsubj المفوضية >obj مهمة	تتولى	المفوضية	مهمة	3	3.4	ABC	3	تتولى
تضع >nsubj الأنثى >obj بيوض	تضع	الأنثى	بيوض	3	3.4	ABC	3	تضع
تضم >nsubj المدينة >obj مجموعة	تضم	المدينة	مجموعة	3	3.4	ABC	3	تضم
تقدم >nsubj الشركة >obj خدمات	تقدم	الشركة	خدمات	3	3.4	ABC	3	تقدم
تقدم >nsubj الشركة >obj خدمة	تقدم	الشركة	خدمة	3	3.4	ABC	3	تقدم
تمتلك >nsubj بعض >obj قدرة	تمتلك	بعض	قدرة	3	3.4	ABC	3	تمتلك
حققت >nsubj الشركة >obj نجاحاً	حققت	الشركة	نجاحاً	3	3.4	ABC	3	حققت
أصبحت >nsubj المدينة >obj مركزًا	أصبحت	المدينة	مركزًا	2	2.3	ABC	3	أصبحت
استطاع >nsubj العلماء >obj تحديد	استطاع	العلماء	تحديد	2	2.3	ABC	3	استطاع
تتضمن >nsubj القائمة >obj مصطلحات	تتضمن	القائمة	مصطلحات	2	2.3	ABC	3	تتضمن
تتضمن >nsubj بعض >obj متطلبات	تتضمن	بعض	متطلبات	2	2.3	ABC	3	تتضمن
تتطلب >nsubj تأشيرة >obj إثبات	تتطلب	تأشيرة	إثبات	2	2.3	ABC	3	تتطلب
تستحق >nsubj المنطقة >obj زيارة	تستحق	المنطقة	زيارة	2	2.3	ABC	3	تستحق
تستخدم >nsubj الصناعات >obj الدهن	تستخدم	الصناعات	الدهن	2	2.3	ABC	3	تستخدم
تستخدم >nsubj اللغة >obj الأحرف	تستخدم	اللغة	الأحرف	2	2.3	ABC	3	تستخدم
تشتهر >nsubj المدينة >obj مركز	تشتهر	المدينة	مركز	2	2.3	ABC	3	تشتهر
تشمل >nsubj الطرق >obj استخدام	تشمل	الطرق	استخدام	2	2.3	ABC	3	تشمل
تشهد >nsubj المدينة >obj نمواً	تشهد	المدينة	نمواً	2	2.3	ABC	3	تشهد
تضم >nsubj المدينة >obj مباني	تضم	المدينة	مباني	2	2.3	ABC	3	تضم
