Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
أصبحت >nsubj المدينة >obj مركزا	أصبحت	المدينة	مركزا	6	5.1	ABC	3	أصبحت
بيانات <nsubj تساوي >obj بيانات	بيانات	تساوي	بيانات	4	3.4	ABC	3	تساوي
تشمل >nsubj الآثار >obj الغثيان	تشمل	الآثار	الغثيان	4	3.4	ABC	3	تشمل
تشمل >nsubj الآثار >obj مشاكل	تشمل	الآثار	مشاكل	3	2.6	ABC	3	تشمل
يبلغ >nsubj حجم >obj حجم	يبلغ	حجم	حجم	3	2.6	ABC	3	يبلغ
أتباع <nsubj يتبعون >obj أنبياء	أتباع	يتبعون	أنبياء	2	1.7	ABC	3	يتبعون
أصبحت >nsubj البحوث >obj صناعات	أصبحت	البحوث	صناعات	2	1.7	ABC	3	أصبحت
أصبحت >nsubj لاهور >obj عاصمة	أصبحت	لاهور	عاصمة	2	1.7	ABC	3	أصبحت
أطلقت >nsubj الحكومة >obj اسم	أطلقت	الحكومة	اسم	2	1.7	ABC	3	أطلقت
أعاد >nsubj الإمبراطور >obj بناء	أعاد	الإمبراطور	بناء	2	1.7	ABC	3	أعاد
أعطت >nsubj الشريعة >obj حق	أعطت	الشريعة	حق	2	1.7	ABC	3	أعطت
أغنية <nsubj احتلت >obj المرتبة	أغنية	احتلت	المرتبة	2	1.7	ABC	3	احتلت
أنعام <nsubj تسقي >obj الماء	أنعام	تسقي	الماء	2	1.7	ABC	3	تسقي
التعدين <nsubj يضم >obj استخراج	التعدين	يضم	استخراج	2	1.7	ABC	3	يضم
الطفرات <nsubj تسمى >obj طفرات	الطفرات	تسمى	طفرات	2	1.7	ABC	3	تسمى
باعت >nsubj شركة >obj مجموعة	باعت	شركة	مجموعة	2	1.7	ABC	3	باعت
بلغت >nsubj الدولة >obj أوج	بلغت	الدولة	أوج	2	1.7	ABC	3	بلغت
تتحدد >nsubj شهرة >obj شأن	تتحدد	شهرة	شأن	2	1.7	ABC	3	تتحدد
تتضمن >nsubj الاختيارات >obj اختيار	تتضمن	الاختيارات	اختيار	2	1.7	ABC	3	تتضمن
تحد >nsubj ولاية >obj ولاية	تحد	ولاية	ولاية	2	1.7	ABC	3	تحد
