Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
учениците <nsubj имат >obj възможност	учениците	имат	възможност	6		ABC	3	имат
хора <nsubj имат >obj нужда	хора	имат	нужда	5		ABC	3	имат
участниците <nsubj имат >obj възможност	участниците	имат	възможност	5		ABC	3	имат
Компанията <nsubj има >obj опит	Компанията	има	опит	5		ABC	3	има
хората <nsubj имат >obj възможност	хората	имат	възможност	4		ABC	3	имат
глас <nsubj има >obj значение	глас	има	значение	4		ABC	3	има
страната <nsubj има >obj нужда	страната	има	нужда	4		ABC	3	има
Участниците <nsubj имат >obj възможност	Участниците	имат	възможност	4		ABC	3	имат
Основателят <nsubj има >obj стойност	Основателят	има	стойност	4		ABC	3	има
хора <nsubj имат >obj проблеми	хора	имат	проблеми	4		ABC	3	имат
хора <nsubj търсят >obj начини	хора	търсят	начини	4		ABC	3	търсят
училища <nsubj отварят >obj врати	училища	отварят	врати	3		ABC	3	отварят
Новината <nsubj привлече >obj вниманието	Новината	привлече	вниманието	3		ABC	3	привлече
депутатите <nsubj получават >obj заплата	депутатите	получават	заплата	3		ABC	3	получават
депутатите <nsubj получават >obj пари	депутатите	получават	пари	3		ABC	3	получават
децата <nsubj имат >obj възможност	децата	имат	възможност	3		ABC	3	имат
технологии <nsubj имат >obj потенциал	технологии	имат	потенциал	3		ABC	3	имат
гражданин <nsubj има >obj правото	гражданин	има	правото	3		ABC	3	има
жените <nsubj имат >obj право	жените	имат	право	3		ABC	3	имат
човек <nsubj носи >obj карма	човек	носи	карма	3		ABC	3	носи
университет <nsubj отвори >obj врати	университет	отвори	врати	3		ABC	3	отвори
Кметът <nsubj изрази >obj благодарност	Кметът	изрази	благодарност	3		ABC	3	изрази
система <nsubj има >obj проблеми	система	има	проблеми	3		ABC	3	има
Компанията <nsubj предлага >obj решения	Компанията	предлага	решения	3		ABC	3	предлага
sport <nsubj has >obj power	sport	has	power	3		ABC	3	has
хората <nsubj правят >obj секс	хората	правят	секс	3		ABC	3	правят
Участниците <nsubj имаха >obj възможността	Участниците	имаха	възможността	3		ABC	3	имаха
фирми <nsubj подават >obj декларации	фирми	подават	декларации	3		ABC	3	подават
Пакетът <nsubj включва >obj нощувки	Пакетът	включва	нощувки	3		ABC	3	включва
Хората <nsubj търсят >obj решения	Хората	търсят	решения	3		ABC	3	търсят
хората <nsubj имат >obj риск	хората	имат	риск	3		ABC	3	имат
Компанията <nsubj има >obj офиси	Компанията	има	офиси	3		ABC	3	има
Студентите <nsubj имат >obj възможност	Студентите	имат	възможност	3		ABC	3	имат
операции <obj извършил >nsubj д-р	операции	извършил	д-р	3		ABC	3	извършил
Община <nsubj откри >obj сезона	Община	откри	сезона	3		ABC	3	откри
хората <nsubj имат >obj доверие	хората	имат	доверие	3		ABC	3	имат
Децата <nsubj събират >obj капачки	Децата	събират	капачки	3		ABC	3	събират
Гражданите <nsubj имат >obj право	Гражданите	имат	право	3		ABC	3	имат
хора <nsubj имат >obj достъп	хора	имат	достъп	3		ABC	3	имат
партии <nsubj дали >obj предложения	партии	дали	предложения	3		ABC	3	дали
Срещата <nsubj даде >obj възможност	Срещата	даде	възможност	2		ABC	3	даде
отбор <nsubj има >obj потенциал	отбор	има	потенциал	2		ABC	3	има
хор <nsubj записа >obj песен	хор	записа	песен	2		ABC	3	записа
проект <nsubj има >obj ефект	проект	има	ефект	2		ABC	3	има
правителството <nsubj предприеме >obj мерки	правителството	предприеме	мерки	2		ABC	3	предприеме
години <nsubj видяха >obj напредък	години	видяха	напредък	2		ABC	3	видяха
правителството <nsubj търси >obj начини	правителството	търси	начини	2		ABC	3	търси
правила <nsubj дадат >obj възможност	правила	дадат	възможност	2		ABC	3	дадат
г-жа <nsubj подчерта >obj необходимостта	г-жа	подчерта	необходимостта	2		ABC	3	подчерта
Серумът <nsubj съдържа >obj съставки	Серумът	съдържа	съставки	2		ABC	3	съдържа
авторът <nsubj разказва >obj историята	авторът	разказва	историята	2		ABC	3	разказва
марки <nsubj привличат >obj фенове	марки	привличат	фенове	2		ABC	3	привличат
митничарите <nsubj имат >obj право	митничарите	имат	право	2		ABC	3	имат
Билет <nsubj струва >obj лева	Билет	струва	лева	2		ABC	3	струва
производители <nsubj търсят >obj начини	производители	търсят	начини	2		ABC	3	търсят
играчи <nsubj имат >obj потенциал	играчи	имат	потенциал	2		ABC	3	имат
Градът <nsubj има >obj инфраструктура	Градът	има	инфраструктура	2		ABC	3	има
емоциите <nsubj имат >obj значение	емоциите	имат	значение	2		ABC	3	имат
решение <nsubj има >obj последици	решение	има	последици	2		ABC	3	има
туристите <nsubj имат >obj възможност	туристите	имат	възможност	2		ABC	3	имат
Миньорите <nsubj започнаха >obj стачка	Миньорите	започнаха	стачка	2		ABC	3	започнаха
проектът <nsubj даде >obj възможност	проектът	даде	възможност	2		ABC	3	даде
Банката <nsubj предлага >obj продукти	Банката	предлага	продукти	2		ABC	3	предлага
страната <nsubj отнема >obj убежището	страната	отнема	убежището	2		ABC	3	отнема
участниците <nsubj имаха >obj възможност	участниците	имаха	възможност	2		ABC	3	имаха
портфейли <nsubj глезят >obj визията	портфейли	глезят	визията	2		ABC	3	глезят
млякото <nsubj струва >obj лв	млякото	струва	лв	2		ABC	3	струва
хората <nsubj търсят >obj работа	хората	търсят	работа	2		ABC	3	търсят
Младежите <nsubj обучават >obj хората	Младежите	обучават	хората	2		ABC	3	обучават
управители <nsubj предложат >obj схеми	управители	предложат	схеми	2		ABC	3	предложат
кандидати <nsubj имат >obj възможности	кандидати	имат	възможности	2		ABC	3	имат
партията <nsubj има >obj присъствие	партията	има	присъствие	2		ABC	3	има
кандидати <nsubj имат >obj възможност	кандидати	имат	възможност	2		ABC	3	имат
Отборът <nsubj предостави >obj възможности	Отборът	предостави	възможности	2		ABC	3	предостави
гурбетчии <nsubj получават >obj обезщетение	гурбетчии	получават	обезщетение	2		ABC	3	получават
Сенатът <nsubj гласува >obj номинацията	Сенатът	гласува	номинацията	2		ABC	3	гласува
домакинства <nsubj използват >obj газ	домакинства	използват	газ	2		ABC	3	използват
масло <nsubj има >obj свойства	масло	има	свойства	2		ABC	3	има
Отборът <nsubj има >obj серия	Отборът	има	серия	2		ABC	3	има
Асоциацията <nsubj сезира >obj прокурор	Асоциацията	сезира	прокурор	2		ABC	3	сезира
Министър <nsubj приветства >obj участниците	Министър	приветства	участниците	2		ABC	3	приветства
дронове <nsubj направят >obj доставки	дронове	направят	доставки	2		ABC	3	направят
страната <nsubj има >obj правителство	страната	има	правителство	2		ABC	3	има
Медалистите <nsubj получиха >obj награди	Медалистите	получиха	награди	2		ABC	3	получиха
мадама <nsubj има >obj коси	мадама	има	коси	2		ABC	3	има
нарушения <nsubj имат >obj въздействие	нарушения	имат	въздействие	2		ABC	3	имат
хората <nsubj имат >obj нужда	хората	имат	нужда	2		ABC	3	имат
Патриотите <nsubj имат >obj роля	Патриотите	имат	роля	2		ABC	3	имат
Патриотите <nsubj искат >obj министри	Патриотите	искат	министри	2		ABC	3	искат
правителство <nsubj има >obj отговорността	правителство	има	отговорността	2		ABC	3	има
Жените <nsubj имат >obj възможности	Жените	имат	възможности	2		ABC	3	имат
хората <nsubj имат >obj доходи	хората	имат	доходи	2		ABC	3	имат
хора <nsubj търсят >obj работа	хора	търсят	работа	2		ABC	3	търсят
държавата <nsubj има >obj възможност	държавата	има	възможност	2		ABC	3	има
играчи <nsubj имат >obj опит	играчи	имат	опит	2		ABC	3	имат
Сайтът <nsubj предлага >obj категории	Сайтът	предлага	категории	2		ABC	3	предлага
отборът <nsubj има >obj нужда	отборът	има	нужда	2		ABC	3	има
държавата <nsubj има >obj нужда	държавата	има	нужда	2		ABC	3	има
магазини <nsubj предоставят >obj услуги	магазини	предоставят	услуги	2		ABC	3	предоставят
държавата <nsubj има >obj потенциал	държавата	има	потенциал	2		ABC	3	има
хора <nsubj ядат >obj сол	хора	ядат	сол	2		ABC	3	ядат
резервати <nsubj запазят >obj статут	резервати	запазят	статут	2		ABC	3	запазят
Магазинът <nsubj предлага >obj гама	Магазинът	предлага	гама	2		ABC	3	предлага
крем <nsubj съдържа >obj комплекс	крем	съдържа	комплекс	2		ABC	3	съдържа
функции <nsubj правят >obj машина	функции	правят	машина	2		ABC	3	правят
гражданите <nsubj имат >obj право	гражданите	имат	право	2		ABC	3	имат
гражданите <nsubj имат >obj възможност	гражданите	имат	възможност	2		ABC	3	имат
хората <nsubj имат >obj възможността	хората	имат	възможността	2		ABC	3	имат
правителството <nsubj предприеме >obj действия	правителството	предприеме	действия	2		ABC	3	предприеме
Комисията <nsubj отхвърли >obj искането	Комисията	отхвърли	искането	2		ABC	3	отхвърли
кампания <nsubj има >obj цел	кампания	има	цел	2		ABC	3	има
хората <nsubj стават >obj жертви	хората	стават	жертви	2		ABC	3	стават
референдумът <nsubj крие >obj рискове	референдумът	крие	рискове	2		ABC	3	крие
Съдът <nsubj брои >obj бюлетините	Съдът	брои	бюлетините	2		ABC	3	брои
дупката <nsubj стане >obj повод	дупката	стане	повод	2		ABC	3	стане
Бюрото <nsubj провеждало >obj редица	Бюрото	провеждало	редица	2		ABC	3	провеждало
отбора <nsubj имат >obj история	отбора	имат	история	2		ABC	3	имат
регулатор <nsubj вземе >obj решение	регулатор	вземе	решение	2		ABC	3	вземе
треньор <nsubj има >obj опит	треньор	има	опит	2		ABC	3	има
Вестник <nsubj има >obj начин	Вестник	има	начин	2		ABC	3	има
Събитието <nsubj представлява >obj възможност	Събитието	представлява	възможност	2		ABC	3	представлява
прокурор <nsubj започна >obj разследване	прокурор	започна	разследване	2		ABC	3	започна
Месец <nsubj представлява >obj щастие	Месец	представлява	щастие	2		ABC	3	представлява
Партиите <nsubj имат >obj позиции	Партиите	имат	позиции	2		ABC	3	имат
Видеото <nsubj показва >obj машината	Видеото	показва	машината	2		ABC	3	показва
болниците <nsubj имат >obj задължение	болниците	имат	задължение	2		ABC	3	имат
Компанията <nsubj предлага >obj гама	Компанията	предлага	гама	2		ABC	3	предлага
корупцията <nsubj няма >obj място	корупцията	няма	място	2		ABC	3	няма
жените <nsubj имат >obj принос	жените	имат	принос	2		ABC	3	имат
Горите <nsubj дават >obj кислород	Горите	дават	кислород	2		ABC	3	дават
партия <nsubj има >obj мнозинство	партия	има	мнозинство	2		ABC	3	има
форум <nsubj даде >obj възможност	форум	даде	възможност	2		ABC	3	даде
Компанията <nsubj има >obj множество	Компанията	има	множество	2		ABC	3	има
Компанията <nsubj предлага >obj услуги	Компанията	предлага	услуги	2		ABC	3	предлага
учениците <nsubj имаха >obj възможност	учениците	имаха	възможност	2		ABC	3	имаха
attendees <nsubj had >obj opportunity	attendees	had	opportunity	2		ABC	3	had
лидерът <nsubj подаде >obj оставка	лидерът	подаде	оставка	2		ABC	3	подаде
