Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
work <nsubj had >obj impact	work	had	impact	13	13.1	ABC	3	had
album <nsubj features >obj tracks	album	features	tracks	11	11.1	ABC	3	features
album <nsubj received >obj acclaim	album	received	acclaim	10	10.1	ABC	3	received
contributions <nsubj earned >obj place	contributions	earned	place	10	10.1	ABC	3	earned
contributions <nsubj had >obj impact	contributions	had	impact	10	10.1	ABC	3	had
school <nsubj offers >obj range	school	offers	range	9	9.1	ABC	3	offers
school <nsubj offers >obj variety	school	offers	variety	9	9.1	ABC	3	offers
village <nsubj has >obj school	village	has	school	9	9.1	ABC	3	has
album <nsubj received >obj reviews	album	received	reviews	8	8.1	ABC	3	received
village <nsubj has >obj history	village	has	history	8	8.1	ABC	3	has
couple <nsubj had >obj children	couple	had	children	7	7.1	ABC	3	had
film <nsubj follows >obj story	film	follows	story	7	7.1	ABC	3	follows
film <nsubj received >obj reviews	film	received	reviews	7	7.1	ABC	3	received
film <nsubj tells >obj story	film	tells	story	7	7.1	ABC	3	tells
school <nsubj offers >obj curriculum	school	offers	curriculum	7	7.1	ABC	3	offers
article <nsubj provides >obj list	article	provides	list	6	6.1	ABC	3	provides
school <nsubj serves >obj students	school	serves	students	6	6.1	ABC	3	serves
village <nsubj has >obj population	village	has	population	6	6.1	ABC	3	has
work <nsubj earned >obj recognition	work	earned	recognition	6	6.1	ABC	3	earned
Visitors <nsubj enjoy >obj hiking	Visitors	enjoy	hiking	5	5.1	ABC	3	enjoy
club <nsubj has >obj history	club	has	history	5	5.1	ABC	3	has
contributions <nsubj left >obj impact	contributions	left	impact	5	5.1	ABC	3	left
earthquake <nsubj caused >obj damage	earthquake	caused	damage	5	5.1	ABC	3	caused
school <nsubj has >obj commitment	school	has	commitment	5	5.1	ABC	3	has
school <nsubj has >obj program	school	has	program	5	5.1	ABC	3	has
success <nsubj paved >obj way	success	paved	way	5	5.1	ABC	3	paved
work <nsubj earned >obj awards	work	earned	awards	5	5.1	ABC	3	earned
Visitors <nsubj explore >obj rooms	Visitors	explore	rooms	4	4.0	ABC	3	explore
album <nsubj features >obj collaborations	album	features	collaborations	4	4.0	ABC	3	features
band <nsubj released >obj album	band	released	album	4	4.0	ABC	3	released
city <nsubj has >obj population	city	has	population	4	4.0	ABC	3	has
government <nsubj implemented >obj measures	government	implemented	measures	4	4.0	ABC	3	implemented
league <nsubj featured >obj teams	league	featured	teams	4	4.0	ABC	3	featured
museum <nsubj features >obj exhibits	museum	features	exhibits	4	4.0	ABC	3	features
novel <nsubj explores >obj themes	novel	explores	themes	4	4.0	ABC	3	explores
novel <nsubj tells >obj story	novel	tells	story	4	4.0	ABC	3	tells
orbit <nsubj has >obj eccentricity	orbit	has	eccentricity	4	4.0	ABC	3	has
park <nsubj covers >obj area	park	covers	area	4	4.0	ABC	3	covers
performances <nsubj caught >obj attention	performances	caught	attention	4	4.0	ABC	3	caught
play <nsubj explores >obj themes	play	explores	themes	4	4.0	ABC	3	explores
research <nsubj had >obj impact	research	had	impact	4	4.0	ABC	3	had
school <nsubj has >obj library	school	has	library	4	4.0	ABC	3	has
stadium <nsubj has >obj capacity	stadium	has	capacity	4	4.0	ABC	3	has
team <nsubj finished >obj season	team	finished	season	4	4.0	ABC	3	finished
team <nsubj won >obj championships	team	won	championships	4	4.0	ABC	3	won
town <nsubj has >obj population	town	has	population	4	4.0	ABC	3	has
work <nsubj paved >obj way	work	paved	way	4	4.0	ABC	3	paved
Visitors <nsubj take >obj tours	Visitors	take	tours	3	3.0	ABC	3	take
album <nsubj explores >obj themes	album	explores	themes	3	3.0	ABC	3	explores
army <nsubj played >obj role	army	played	role	3	3.0	ABC	3	played
band <nsubj gained >obj popularity	band	gained	popularity	3	3.0	ABC	3	gained
city <nsubj covers >obj area	city	covers	area	3	3.0	ABC	3	covers
collection <nsubj includes >obj works	collection	includes	works	3	3.0	ABC	3	includes
contributions <nsubj paved >obj way	contributions	paved	way	3	3.0	ABC	3	paved
crops <nsubj include >obj rice	crops	include	rice	3	3.0	ABC	3	include
family <nsubj has >obj history	family	has	history	3	3.0	ABC	3	has
female <nsubj lays >obj eggs	female	lays	eggs	3	3.0	ABC	3	lays
festival <nsubj attracts >obj visitors	festival	attracts	visitors	3	3.0	ABC	3	attracts
festival <nsubj takes >obj place	festival	takes	place	3	3.0	ABC	3	takes
film <nsubj received >obj acclaim	film	received	acclaim	3	3.0	ABC	3	received
genus <nsubj contains >obj species	genus	contains	species	3	3.0	ABC	3	contains
ideas <nsubj had >obj impact	ideas	had	impact	3	3.0	ABC	3	had
languages <nsubj include >obj languages	languages	include	languages	3	3.0	ABC	3	include
life <nsubj takes >obj turn	life	takes	turn	3	3.0	ABC	3	takes
players <nsubj showcase >obj talents	players	showcase	talents	3	3.0	ABC	3	showcase
research <nsubj shed >obj light	research	shed	light	3	3.0	ABC	3	shed
school <nsubj encourages >obj students	school	encourages	students	3	3.0	ABC	3	encourages
script <nsubj gained >obj popularity	script	gained	popularity	3	3.0	ABC	3	gained
series <nsubj received >obj acclaim	series	received	acclaim	3	3.0	ABC	3	received
show <nsubj received >obj acclaim	show	received	acclaim	3	3.0	ABC	3	received
show <nsubj won >obj awards	show	won	awards	3	3.0	ABC	3	won
song <nsubj tells >obj story	song	tells	story	3	3.0	ABC	3	tells
stadium <nsubj hosted >obj matches	stadium	hosted	matches	3	3.0	ABC	3	hosted
state <nsubj has >obj history	state	has	history	3	3.0	ABC	3	has
station <nsubj has >obj platforms	station	has	platforms	3	3.0	ABC	3	has
station <nsubj plays >obj role	station	plays	role	3	3.0	ABC	3	plays
team <nsubj had >obj players	team	had	players	3	3.0	ABC	3	had
team <nsubj had >obj season	team	had	season	3	3.0	ABC	3	had
