Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
Males <nsubj had >obj income	Males	had	income	64		ABC	3	had
album <nsubj sold >obj copies	album	sold	copies	26		ABC	3	sold
band <nsubj released >obj album	band	released	album	18		ABC	3	released
couple <nsubj had >obj children	couple	had	children	16		ABC	3	had
town <nsubj has >obj area	town	has	area	14		ABC	3	has
film <nsubj received >obj reviews	film	received	reviews	14		ABC	3	received
township <nsubj has >obj area	township	has	area	14		ABC	3	has
HoH <nsubj won >obj power	HoH	won	power	14		ABC	3	won
city <nsubj has >obj area	city	has	area	14		ABC	3	has
orbit <nsubj has >obj eccentricity	orbit	has	eccentricity	14		ABC	3	has
surface <nsubj has >obj albedo	surface	has	albedo	12		ABC	3	has
player <nsubj imports >obj game	player	imports	game	10		ABC	3	imports
film <nsubj had >obj premiere	film	had	premiere	10		ABC	3	had
team <nsubj played >obj games	team	played	games	10		ABC	3	played
event <nsubj took >obj place	event	took	place	10		ABC	3	took
team <nsubj won >obj championship	team	won	championship	10		ABC	3	won
Statistics <nsubj include >obj matches	Statistics	include	matches	10		ABC	3	include
album <nsubj received >obj reviews	album	received	reviews	10		ABC	3	received
film <nsubj tells >obj story	film	tells	story	8		ABC	3	tells
Scores <nsubj list >obj tally	Scores	list	tally	8		ABC	3	list
film <nsubj won >obj award	film	won	award	8		ABC	3	won
Stats <nsubj reflect >obj time	Stats	reflect	time	8		ABC	3	reflect
website <nsubj received >obj update	website	received	update	8		ABC	3	received
game <nsubj takes >obj place	game	takes	place	8		ABC	3	takes
newspapers <nsubj ran >obj strips	newspapers	ran	strips	8		ABC	3	ran
analysis <nsubj gave >obj period	analysis	gave	period	8		ABC	3	gave
couple <nsubj had >obj son	couple	had	son	8		ABC	3	had
pope <nsubj continued >obj practice	pope	continued	practice	8		ABC	3	continued
Climate <nsubj has >obj climate	Climate	has	climate	6		ABC	3	has
album <nsubj received >obj score	album	received	score	6		ABC	3	received
single <nsubj sold >obj copies	single	sold	copies	6		ABC	3	sold
starters <nsubj require >obj lubrication	starters	require	lubrication	6		ABC	3	require
election <nsubj took >obj place	election	took	place	6		ABC	3	took
inscription <nsubj records >obj grant	inscription	records	grant	6		ABC	3	records
band <nsubj released >obj single	band	released	single	6		ABC	3	released
company <nsubj ceased >obj operations	company	ceased	operations	6		ABC	3	ceased
lineup <nsubj recorded >obj album	lineup	recorded	album	6		ABC	3	recorded
club <nsubj features >obj layout	club	features	layout	6		ABC	3	features
song <nsubj reached >obj number	song	reached	number	6		ABC	3	reached
codex <nsubj contains >obj text	codex	contains	text	6		ABC	3	contains
club <nsubj holds >obj record	club	holds	record	6		ABC	3	holds
election <nsubj marked >obj time	election	marked	time	6		ABC	3	marked
review <nsubj awarded >obj stars	review	awarded	stars	6		ABC	3	awarded
school <nsubj had >obj students	school	had	students	6		ABC	3	had
company <nsubj changed >obj name	company	changed	name	6		ABC	3	changed
film <nsubj has >obj score	film	has	score	6		ABC	3	has
film <nsubj holds >obj rating	film	holds	rating	6		ABC	3	holds
wall <nsubj has >obj window	wall	has	window	6		ABC	3	has
