Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
neraca <nsubj mengalami >obj defisit	neraca	mengalami	defisit	16	14.3	ABC	3	mengalami
pilot <nsubj mengalami >obj luka	pilot	mengalami	luka	10	8.9	ABC	3	mengalami
Ketua <nsubj mengungkapkan >obj ketidaknetralan	Ketua	mengungkapkan	ketidaknetralan	9	8.1	ABC	3	mengungkapkan
jumlah <nsubj mencapai >obj orang	jumlah	mencapai	orang	9	8.1	ABC	3	mencapai
korban <nsubj meninggal >obj dunia	korban	meninggal	dunia	8	7.2	ABC	3	meninggal
Jumlah <nsubj meningkat >obj persen	Jumlah	meningkat	persen	7	6.3	ABC	3	meningkat
impor <nsubj naik >obj persen	impor	naik	persen	6	5.4	ABC	3	naik
korban <nsubj mengalami >obj luka	korban	mengalami	luka	6	5.4	ABC	3	mengalami
orang <nsubj meninggal >obj dunia	orang	meninggal	dunia	6	5.4	ABC	3	meninggal
pernyataan <nsubj membuat >obj intelejen	pernyataan	membuat	intelejen	6	5.4	ABC	3	membuat
utang <nsubj mencapai >obj triliun	utang	mencapai	triliun	6	5.4	ABC	3	mencapai
warga <nsubj menggunakan >obj hak	warga	menggunakan	hak	6	5.4	ABC	3	menggunakan
Korban <nsubj mengalami >obj luka	Korban	mengalami	luka	5	4.5	ABC	3	mengalami
Pesawat <nsubj mengangkut >obj anggota	Pesawat	mengangkut	anggota	5	4.5	ABC	3	mengangkut
daerah <nsubj menggelar >obj pemungutan	daerah	menggelar	pemungutan	5	4.5	ABC	3	menggelar
korban <nsubj hilang >obj keseimbangan	korban	hilang	keseimbangan	5	4.5	ABC	3	hilang
masyarakat <nsubj menggunakan >obj hak	masyarakat	menggunakan	hak	5	4.5	ABC	3	menggunakan
orang <nsubj mengalami >obj luka	orang	mengalami	luka	5	4.5	ABC	3	mengalami
pemerintah <nsubj membuka >obj pendaftaran	pemerintah	membuka	pendaftaran	5	4.5	ABC	3	membuka
penjualan <nsubj mencapai >obj unit	penjualan	mencapai	unit	5	4.5	ABC	3	mencapai
polisi <nsubj mengamankan >obj barang	polisi	mengamankan	barang	5	4.5	ABC	3	mengamankan
polisi <nsubj menyita >obj barang	polisi	menyita	barang	5	4.5	ABC	3	menyita
rakyat <nsubj dibagi >obj sembako	rakyat	dibagi	sembako	5	4.5	ABC	3	dibagi
Alasannya <nsubj ada >obj mobilisasi	Alasannya	ada	mobilisasi	4	3.6	ABC	3	ada
Jumlah <nsubj termasuk >obj pemilih	Jumlah	termasuk	pemilih	4	3.6	ABC	3	termasuk
Kapal <nsubj membawa >obj penumpang	Kapal	membawa	penumpang	4	3.6	ABC	3	membawa
Keluarga <nsubj mendapat >obj kabar	Keluarga	mendapat	kabar	4	3.6	ABC	3	mendapat
Ketua <nsubj melontarkan >obj kritik	Ketua	melontarkan	kritik	4	3.6	ABC	3	melontarkan
Majelis <nsubj memvonis >obj terdakwa	Majelis	memvonis	terdakwa	4	3.6	ABC	3	memvonis
Majelis <nsubj menjatuhkan >obj vonis	Majelis	menjatuhkan	vonis	4	3.6	ABC	3	menjatuhkan
Pesawat <nsubj ditembak >obj kelompok	Pesawat	ditembak	kelompok	4	3.6	ABC	3	ditembak
bentuknya <nsubj menyerupai >obj bawang	bentuknya	menyerupai	bawang	4	3.6	ABC	3	menyerupai
boat <nsubj carried >obj people	boat	carried	people	4	3.6	ABC	3	carried
bola <nsubj mengenai >obj kaki	bola	mengenai	kaki	4	3.6	ABC	3	mengenai
ekspor <nsubj mengalami >obj kenaikan	ekspor	mengalami	kenaikan	4	3.6	ABC	3	mengalami
institusi <nsubj diwarnai >obj ketidaknetralan	institusi	diwarnai	ketidaknetralan	4	3.6	ABC	3	diwarnai
kiper <nsubj melakukan >obj penyelamatan	kiper	melakukan	penyelamatan	4	3.6	ABC	3	melakukan
laga <nsubj berjalan >obj menit	laga	berjalan	menit	4	3.6	ABC	3	berjalan
objek <nsubj merupakan >obj KM	objek	merupakan	KM	4	3.6	ABC	3	merupakan
orang <nsubj bilang >obj kandidat	orang	bilang	kandidat	4	3.6	ABC	3	bilang
orang <nsubj merupakan >obj anggota	orang	merupakan	anggota	4	3.6	ABC	3	merupakan
peluang <nsubj terjadi >obj letusan	peluang	terjadi	letusan	4	3.6	ABC	3	terjadi
pernyataan <nsubj bertolak >obj belakang	pernyataan	bertolak	belakang	4	3.6	ABC	3	bertolak
pesawat <nsubj menuju >obj taxi	pesawat	menuju	taxi	4	3.6	ABC	3	menuju
petani <nsubj mengalami >obj kerugian	petani	mengalami	kerugian	4	3.6	ABC	3	mengalami
tersangka <nsubj dijerat >obj Pasal	tersangka	dijerat	Pasal	4	3.6	ABC	3	dijerat
tim <nsubj memiliki >obj pengetahuan	tim	memiliki	pengetahuan	4	3.6	ABC	3	memiliki
tim <nsubj punya >obj peluang	tim	punya	peluang	4	3.6	ABC	3	punya
wilayah <nsubj mengikuti >obj keputusan	wilayah	mengikuti	keputusan	4	3.6	ABC	3	mengikuti
Berita <nsubj klik >obj tautan	Berita	klik	tautan	3	2.7	ABC	3	klik
Hal <nsubj dikatakan >obj gelandang	Hal	dikatakan	gelandang	3	2.7	ABC	3	dikatakan
Hal <nsubj mempengaruhi >obj harga	Hal	mempengaruhi	harga	3	2.7	ABC	3	mempengaruhi
Hal <nsubj menjadi >obj perhatian	Hal	menjadi	perhatian	3	2.7	ABC	3	menjadi
Jalannya <nsubj menekan >obj pertahanan	Jalannya	menekan	pertahanan	3	2.7	ABC	3	menekan
Kapal <nsubj mengangkut >obj penumpang	Kapal	mengangkut	penumpang	3	2.7	ABC	3	mengangkut
Korban <nsubj menuruti >obj permintaan	Korban	menuruti	permintaan	3	2.7	ABC	3	menuruti
Laga <nsubj menjadi >obj laga	Laga	menjadi	laga	3	2.7	ABC	3	menjadi
Laga <nsubj menjadi >obj penentu	Laga	menjadi	penentu	3	2.7	ABC	3	menjadi
Majelis <nsubj mempertimbangkan >obj hal	Majelis	mempertimbangkan	hal	3	2.7	ABC	3	mempertimbangkan
Masyarakat <nsubj menerima >obj hasil	Masyarakat	menerima	hasil	3	2.7	ABC	3	menerima
Neraca <nsubj mengalami >obj defisit	Neraca	mengalami	defisit	3	2.7	ABC	3	mengalami
Peningkatan <nsubj dipicu >obj libur	Peningkatan	dipicu	libur	3	2.7	ABC	3	dipicu
Pertandingan <nsubj memperebutkan >obj status	Pertandingan	memperebutkan	status	3	2.7	ABC	3	memperebutkan
Pertandingan <nsubj menjadi >obj laga	Pertandingan	menjadi	laga	3	2.7	ABC	3	menjadi
Pria <nsubj merupakan >obj lulusan	Pria	merupakan	lulusan	3	2.7	ABC	3	merupakan
Saingan <nsubj memperoleh >obj suara	Saingan	memperoleh	suara	3	2.7	ABC	3	memperoleh
anaknya <nsubj meninggal >obj kecelakaan	anaknya	meninggal	kecelakaan	3	2.7	ABC	3	meninggal
banjir <nsubj menggenangi >obj RT	banjir	menggenangi	RT	3	2.7	ABC	3	menggenangi
banjir <nsubj merendam >obj RT	banjir	merendam	RT	3	2.7	ABC	3	merendam
banjir <nsubj terjadi >obj akibat	banjir	terjadi	akibat	3	2.7	ABC	3	terjadi
dolar <nsubj menguat >obj poin	dolar	menguat	poin	3	2.7	ABC	3	menguat
