Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
человек <nsubj получили >obj ранения	человек	получили	ранения	14		ABC	3	получили
приняли >obj участие >nsubj человек	приняли	участие	человек	10		ABC	3	приняли
суд <nsubj принял >obj решение	суд	принял	решение	8		ABC	3	принял
приняли >obj участие >nsubj тысяч	приняли	участие	тысяч	8		ABC	3	приняли
прокуратура <nsubj начала >obj проверку	прокуратура	начала	проверку	8		ABC	3	начала
комитет <nsubj возбудил >obj дело	комитет	возбудил	дело	6		ABC	3	возбудил
Правительство <nsubj приняло >obj решение	Правительство	приняло	решение	6		ABC	3	приняло
суд <nsubj отклонил >obj иск	суд	отклонил	иск	6		ABC	3	отклонил
мероприятие <nsubj включает >obj мероприятия	мероприятие	включает	мероприятия	6		ABC	3	включает
глава <nsubj выразил >obj мнение	глава	выразил	мнение	4		ABC	3	выразил
Катера <nsubj имеют >obj водоизмещение	Катера	имеют	водоизмещение	4		ABC	3	имеют
приняли >obj участие >nsubj тыс	приняли	участие	тыс	4		ABC	3	приняли
хакеры <nsubj похитили >obj корреспонденцию	хакеры	похитили	корреспонденцию	4		ABC	3	похитили
суд <nsubj санкционировал >obj арест	суд	санкционировал	арест	4		ABC	3	санкционировал
суд <nsubj рассмотрит >obj дело	суд	рассмотрит	дело	4		ABC	3	рассмотрит
стороны <nsubj подтвердили >obj приверженность	стороны	подтвердили	приверженность	4		ABC	3	подтвердили
члены <nsubj приняли >obj решение	члены	приняли	решение	4		ABC	3	приняли
президент <nsubj принял >obj отставку	президент	принял	отставку	4		ABC	3	принял
Руководство <nsubj приняло >obj решение	Руководство	приняло	решение	4		ABC	3	приняло
половину <obj покроет >nsubj кредит	половину	покроет	кредит	4		ABC	3	покроет
Министр <nsubj выразил >obj уверенность	Министр	выразил	уверенность	4		ABC	3	выразил
правительство <nsubj приняло >obj решение	правительство	приняло	решение	4		ABC	3	приняло
силы <nsubj готовят >obj наступление	силы	готовят	наступление	4		ABC	3	готовят
глава <nsubj высказал >obj мнение	глава	высказал	мнение	4		ABC	3	высказал
поражение <nsubj оставляет >obj шансы	поражение	оставляет	шансы	4		ABC	3	оставляет
представители <nsubj проинформируют >obj владельцев	представители	проинформируют	владельцев	4		ABC	3	проинформируют
компания <nsubj выпустила >obj приложение	компания	выпустила	приложение	4		ABC	3	выпустила
Отдел <nsubj осуществляет >obj полномочия	Отдел	осуществляет	полномочия	4		ABC	3	осуществляет
журналисты <nsubj обратили >obj внимание	журналисты	обратили	внимание	4		ABC	3	обратили
Ответственность <obj взяла >nsubj группировка	Ответственность	взяла	группировка	4		ABC	3	взяла
экипаж <nsubj занял >obj место	экипаж	занял	место	4		ABC	3	занял
комитет <nsubj приостановил >obj членство	комитет	приостановил	членство	4		ABC	3	приостановил
суд <nsubj предъявил >obj обвинения	суд	предъявил	обвинения	4		ABC	3	предъявил
Банк <nsubj установил >obj курс	Банк	установил	курс	4		ABC	3	установил
совет <nsubj принял >obj решение	совет	принял	решение	4		ABC	3	принял
большинство <nsubj поддержали >obj решение	большинство	поддержали	решение	4		ABC	3	поддержали
слова <obj передает >nsubj корреспондент	слова	передает	корреспондент	4		ABC	3	передает
правда <nsubj направила >obj запрос	правда	направила	запрос	4		ABC	3	направила
мнение <obj выразил >nsubj глава	мнение	выразил	глава	4		ABC	3	выразил
Защита <nsubj подала >obj жалобу	Защита	подала	жалобу	4		ABC	3	подала
работу <obj организует >nsubj управление	работу	организует	управление	4		ABC	3	организует
исполнитель <nsubj готовит >obj отчеты	исполнитель	готовит	отчеты	4		ABC	3	готовит
президент <nsubj подписал >obj закон	президент	подписал	закон	4		ABC	3	подписал
суд <nsubj сократил >obj срок	суд	сократил	срок	4		ABC	3	сократил
приняли >obj участие >nsubj посетителей	приняли	участие	посетителей	4		ABC	3	приняли
принимают >obj участие >nsubj дети	принимают	участие	дети	4		ABC	3	принимают
истребитель <nsubj сбил >obj самолет	истребитель	сбил	самолет	4		ABC	3	сбил
приводит >obj слова >nsubj пресс-служба	приводит	слова	пресс-служба	4		ABC	3	приводит
Сборная <nsubj заняла >obj место	Сборная	заняла	место	4		ABC	3	заняла
примут >obj участие >nsubj спортсмены	примут	участие	спортсмены	4		ABC	3	примут
приводит >nsubj издание >obj слова	приводит	издание	слова	4		ABC	3	приводит
nМир <nsubj смотрит >obj чемпионат	nМир	смотрит	чемпионат	4		ABC	3	смотрит
власти <nsubj приняли >obj решение	власти	приняли	решение	4		ABC	3	приняли
приз <obj получил >nsubj фильм	приз	получил	фильм	4		ABC	3	получил
партии <nsubj имели >obj возможность	партии	имели	возможность	2		ABC	3	имели
парламент <nsubj отменил >obj акты	парламент	отменил	акты	2		ABC	3	отменил
пограничники <nsubj получили >obj приказ	пограничники	получили	приказ	2		ABC	3	получили
парламент <nsubj поддержал >obj меру	парламент	поддержал	меру	2		ABC	3	поддержал
партнеры <nsubj проведут >obj тесты	партнеры	проведут	тесты	2		ABC	3	проведут
парламентарий <nsubj выбил >obj камеру	парламентарий	выбил	камеру	2		ABC	3	выбил
парней <nsubj продавали >obj подписку	парней	продавали	подписку	2		ABC	3	продавали
пограничники <nsubj открыли >obj огонь	пограничники	открыли	огонь	2		ABC	3	открыли
партизана <nsubj получили >obj ордена	партизана	получили	ордена	2		ABC	3	получили
партизаны <nsubj открыли >obj огонь	партизаны	открыли	огонь	2		ABC	3	открыли
партнеры <nsubj имеют >obj возможность	партнеры	имеют	возможность	2		ABC	3	имеют
партии <nsubj проводят >obj ребрендинги	партии	проводят	ребрендинги	2		ABC	3	проводят
партия <nsubj набрала >obj количество	партия	набрала	количество	2		ABC	3	набрала
пограничники <nsubj использовали >obj оружие	пограничники	использовали	оружие	2		ABC	3	использовали
парламент <nsubj одобрил >obj резолюцию	парламент	одобрил	резолюцию	2		ABC	3	одобрил
пограничники <nsubj задержали >obj солдата	пограничники	задержали	солдата	2		ABC	3	задержали
партия <nsubj назначит >obj человека	партия	назначит	человека	2		ABC	3	назначит
пограничники <nsubj задержали >obj партию	пограничники	задержали	партию	2		ABC	3	задержали
партия <nsubj разрабатывает >obj политику	партия	разрабатывает	политику	2		ABC	3	разрабатывает
партия <nsubj совет <obj победила	партия	совет	победила	2		ABC	3	победила
партнерство <nsubj носит >obj характер	партнерство	носит	характер	2		ABC	3	носит
пограничники <nsubj задержали >obj мужчину	пограничники	задержали	мужчину	2		ABC	3	задержали
партию <obj ждет >nsubj реконструкция	партию	ждет	реконструкция	2		ABC	3	ждет
пара <nsubj получила >obj угрозы	пара	получила	угрозы	2		ABC	3	получила
парк <obj дополнили >nsubj изваяния	парк	дополнили	изваяния	2		ABC	3	дополнили
пограничники <nsubj проводят >obj проверки	пограничники	проводят	проверки	2		ABC	3	проводят
палата <nsubj выявила >obj нарушения	палата	выявила	нарушения	2		ABC	3	выявила
палата <nsubj запустила >obj конкурс	палата	запустила	конкурс	2		ABC	3	запустила
подключение <nsubj примет >obj характер	подключение	примет	характер	2		ABC	3	примет
палата <nsubj зафиксировала >obj нарушения	палата	зафиксировала	нарушения	2		ABC	3	зафиксировала
палата <nsubj обнаружила >obj нарушения	палата	обнаружила	нарушения	2		ABC	3	обнаружила
палата <nsubj отклонила >obj протест	палата	отклонила	протест	2		ABC	3	отклонила
поджог <obj совершил >nsubj человек	поджог	совершил	человек	2		ABC	3	совершил
палата <nsubj подготовила >obj отчет	палата	подготовила	отчет	2		ABC	3	подготовила
поддержку <obj оказывают >nsubj авиация	поддержку	оказывают	авиация	2		ABC	3	оказывают
поддержку <obj обещал >nsubj галерист	поддержку	обещал	галерист	2		ABC	3	обещал
поддержку <obj выразили >nsubj актер	поддержку	выразили	актер	2		ABC	3	выразили
