Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
razmere <nsubj določajo >obj usodo	razmere	določajo	usodo	16	42.8	ABC	3	določajo
roman <nsubj odpira >obj vprašanje	roman	odpira	vprašanje	10	26.7	ABC	3	odpira
cilj <nsubj posvečuje >obj sredstva	cilj	posvečuje	sredstva	6	16.0	ABC	3	posvečuje
roman <nsubj odpira >obj vprašanja	roman	odpira	vprašanja	5	13.4	ABC	3	odpira
roman <nsubj presega >obj okvir	roman	presega	okvir	5	13.4	ABC	3	presega
liki <nsubj iščejo >obj svobodo	liki	iščejo	svobodo	4	10.7	ABC	3	iščejo
Likom <obj svoboda <nsubj izmika	Likom	svoboda	izmika	3	8.0	ABC	3	izmika
Ljudje <nsubj gledajo >obj sence	Ljudje	gledajo	sence	3	8.0	ABC	3	gledajo
beseda <nsubj nosi >obj težo	beseda	nosi	težo	3	8.0	ABC	3	nosi
besedilo <nsubj odpira >obj vprašanje	besedilo	odpira	vprašanje	3	8.0	ABC	3	odpira
del <nsubj opravlja >obj delo	del	opravlja	delo	3	8.0	ABC	3	opravlja
dvojnost <nsubj ustvarja >obj napetost	dvojnost	ustvarja	napetost	3	8.0	ABC	3	ustvarja
oblasti <nsubj prepovejo >obj besedo	oblasti	prepovejo	besedo	3	8.0	ABC	3	prepovejo
proza <nsubj razpira >obj vprašanje	proza	razpira	vprašanje	3	8.0	ABC	3	razpira
razmere <nsubj določajo >obj meje	razmere	določajo	meje	3	8.0	ABC	3	določajo
razmere <nsubj krojijo >obj usodo	razmere	krojijo	usodo	3	8.0	ABC	3	krojijo
človek <nsubj kroji >obj usodo	človek	kroji	usodo	3	8.0	ABC	3	kroji
Avtorji <nsubj razpirajo >obj napetosti	Avtorji	razpirajo	napetosti	2	5.3	ABC	3	razpirajo
Bralec <nsubj dobi >obj občutek	Bralec	dobi	občutek	2	5.3	ABC	3	dobi
Bralec <nsubj čuti >obj sol	Bralec	čuti	sol	2	5.3	ABC	3	čuti
Cilj <nsubj posvečuje >obj sredstva	Cilj	posvečuje	sredstva	2	5.3	ABC	3	posvečuje
Jezik <nsubj ima >obj vlogo	Jezik	ima	vlogo	2	5.3	ABC	3	ima
Mladostniki <nsubj nosijo >obj težo	Mladostniki	nosijo	težo	2	5.3	ABC	3	nosijo
Posameznik <nsubj odpove >obj svobodi	Posameznik	odpove	svobodi	2	5.3	ABC	3	odpove
Primerjava <nsubj pokaže >obj premik	Primerjava	pokaže	premik	2	5.3	ABC	3	pokaže
Pripovedovalec <nsubj išče >obj pot	Pripovedovalec	išče	pot	2	5.3	ABC	3	išče
Roman <nsubj presega >obj zgodbo	Roman	presega	zgodbo	2	5.3	ABC	3	presega
Sin <nsubj išče >obj priznanje	Sin	išče	priznanje	2	5.3	ABC	3	išče
Sin <nsubj želi >obj potrditve	Sin	želi	potrditve	2	5.3	ABC	3	želi
avtor <nsubj gradi >obj like	avtor	gradi	like	2	5.3	ABC	3	gradi
avtor <nsubj uporablja >obj predmete	avtor	uporablja	predmete	2	5.3	ABC	3	uporablja
beseda <nsubj odpira >obj vrata	beseda	odpira	vrata	2	5.3	ABC	3	odpira
delo <nsubj odpira >obj vprašanje	delo	odpira	vprašanje	2	5.3	ABC	3	odpira
dilema <nsubj razpira >obj vprašanje	dilema	razpira	vprašanje	2	5.3	ABC	3	razpira
družba <nsubj določa >obj polje	družba	določa	polje	2	5.3	ABC	3	določa
dvojnost <nsubj tvori >obj jedro	dvojnost	tvori	jedro	2	5.3	ABC	3	tvori
gesta <nsubj dobi >obj težo	gesta	dobi	težo	2	5.3	ABC	3	dobi
ima >nsubj beseda >obj težo	ima	beseda	težo	2	5.3	ABC	3	ima
ima >nsubj jezik >obj vlogo	ima	jezik	vlogo	2	5.3	ABC	3	ima
izguba <nsubj pomeni >obj izgubo	izguba	pomeni	izgubo	2	5.3	ABC	3	pomeni
junak <nsubj dom <obj zgradi	junak	dom	zgradi	2	5.3	ABC	3	zgradi
lik <nsubj predstavlja >obj zunanjost	lik	predstavlja	zunanjost	2	5.3	ABC	3	predstavlja
liki <nsubj ohranjajo >obj iskrico	liki	ohranjajo	iskrico	2	5.3	ABC	3	ohranjajo
liki <nsubj ohranjajo >obj jedro	liki	ohranjajo	jedro	2	5.3	ABC	3	ohranjajo
liki <nsubj preizkušajo >obj meje	liki	preizkušajo	meje	2	5.3	ABC	3	preizkušajo
moč <obj ima >nsubj motiv	moč	ima	motiv	2	5.3	ABC	3	ima
oblast <nsubj oblikuje >obj resničnost	oblast	oblikuje	resničnost	2	5.3	ABC	3	oblikuje
oblast <nsubj prepove >obj slovenščino	oblast	prepove	slovenščino	2	5.3	ABC	3	prepove
oblast <nsubj uporablja >obj užitek	oblast	uporablja	užitek	2	5.3	ABC	3	uporablja
oblast <nsubj zahteva >obj pokorščino	oblast	zahteva	pokorščino	2	5.3	ABC	3	zahteva
odgovornost <nsubj pomeni >obj zvestobo	odgovornost	pomeni	zvestobo	2	5.3	ABC	3	pomeni
orhideja <nsubj odpira >obj vprašanje	orhideja	odpira	vprašanje	2	5.3	ABC	3	odpira
orhideja <nsubj uteleša >obj skušnjavo	orhideja	uteleša	skušnjavo	2	5.3	ABC	3	uteleša
pečat <obj daje >nsubj jezik	pečat	daje	jezik	2	5.3	ABC	3	daje
posameznik <nsubj izgubi >obj stik	posameznik	izgubi	stik	2	5.3	ABC	3	izgubi
razmere <nsubj določajo >obj okvir	razmere	določajo	okvir	2	5.3	ABC	3	določajo
razmere <nsubj določajo >obj polje	razmere	določajo	polje	2	5.3	ABC	3	določajo
razmere <nsubj oblikujejo >obj usodo	razmere	oblikujejo	usodo	2	5.3	ABC	3	oblikujejo
