Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
človek <nsubj išče >obj identiteto	človek	išče	identiteto	11	31.1	ABC	3	išče
Duhovnik <nsubj uprl >obj ukazu	Duhovnik	uprl	ukazu	9	25.4	ABC	3	uprl
Mati <nsubj odločitev <obj sprejme	Mati	odločitev	sprejme	5	14.1	ABC	3	sprejme
ima >nsubj posameznik >obj pravico	ima	posameznik	pravico	5	14.1	ABC	3	ima
oče <nsubj ponudil >obj kmetijo	oče	ponudil	kmetijo	5	14.1	ABC	3	ponudil
posameznik <nsubj ima >obj pravico	posameznik	ima	pravico	5	14.1	ABC	3	ima
Mati <nsubj ima >obj težave	Mati	ima	težave	4	11.3	ABC	3	ima
dejanje <nsubj reši >obj problem	dejanje	reši	problem	4	11.3	ABC	3	reši
ima >nsubj človek >obj pravico	ima	človek	pravico	4	11.3	ABC	3	ima
Čas <nsubj poznal >obj sočasnost	Čas	poznal	sočasnost	4	11.3	ABC	3	poznal
Duhovnik <nsubj pokaže >obj skrb	Duhovnik	pokaže	skrb	3	8.5	ABC	3	pokaže
Mati <nsubj sprejme >obj odločitev	Mati	sprejme	odločitev	3	8.5	ABC	3	sprejme
Pripovedovalec <nsubj doživlja >obj vožnjo	Pripovedovalec	doživlja	vožnjo	3	8.5	ABC	3	doživlja
dejanje <nsubj reši >obj problema	dejanje	reši	problema	3	8.5	ABC	3	reši
duhovnik <nsubj uprl >obj ukazu	duhovnik	uprl	ukazu	3	8.5	ABC	3	uprl
imajo >nsubj učitelji >obj plačo	imajo	učitelji	plačo	3	8.5	ABC	3	imajo
ljudje <nsubj nimajo >obj pravic	ljudje	nimajo	pravic	3	8.5	ABC	3	nimajo
oče <nsubj stiskal >obj ustnice	oče	stiskal	ustnice	3	8.5	ABC	3	stiskal
pisatelj <nsubj pripoveduje >obj zgodbo	pisatelj	pripoveduje	zgodbo	3	8.5	ABC	3	pripoveduje
zaslužek <nsubj olajšal >obj stroške	zaslužek	olajšal	stroške	3	8.5	ABC	3	olajšal
Boj <nsubj dal >obj moč	Boj	dal	moč	2	5.7	ABC	3	dal
Družina <nsubj nima >obj denarja	Družina	nima	denarja	2	5.7	ABC	3	nima
Duhovnik <nsubj doseže >obj namen	Duhovnik	doseže	namen	2	5.7	ABC	3	doseže
Hči <nsubj ima >obj težave	Hči	ima	težave	2	5.7	ABC	3	ima
Mama <nsubj imela >obj oči	Mama	imela	oči	2	5.7	ABC	3	imela
Mati <nsubj imata >obj težave	Mati	imata	težave	2	5.7	ABC	3	imata
Mediji <nsubj imajo >obj vpliv	Mediji	imajo	vpliv	2	5.7	ABC	3	imajo
Občutke <obj izrazi >nsubj pripovedovalec	Občutke	izrazi	pripovedovalec	2	5.7	ABC	3	izrazi
Odlomek <nsubj pripoveduje >obj zgodbo	Odlomek	pripoveduje	zgodbo	2	5.7	ABC	3	pripoveduje
Oče <nsubj pobrala >obj knjige	Oče	pobrala	knjige	2	5.7	ABC	3	pobrala
Posameznik <nsubj ima >obj pravico	Posameznik	ima	pravico	2	5.7	ABC	3	ima
Prijateljice <nsubj imele >obj vest	Prijateljice	imele	vest	2	5.7	ABC	3	imele
Pripovedovalec <nsubj izrazi >obj občutke	Pripovedovalec	izrazi	občutke	2	5.7	ABC	3	izrazi
Roman <obj napisal >nsubj pisatelj	Roman	napisal	pisatelj	2	5.7	ABC	3	napisal
besedilo <nsubj ima >obj prvine	besedilo	ima	prvine	2	5.7	ABC	3	ima
dejanje <nsubj rešilo >obj problem	dejanje	rešilo	problem	2	5.7	ABC	3	rešilo
dekle <nsubj želi >obj krstitve	dekle	želi	krstitve	2	5.7	ABC	3	želi
duhovnik <nsubj spoštuje >obj jezik	duhovnik	spoštuje	jezik	2	5.7	ABC	3	spoštuje
ima >nsubj mati >obj težave	ima	mati	težave	2	5.7	ABC	3	ima
ima >nsubj zakonodajalec >obj učiteljice	ima	zakonodajalec	učiteljice	2	5.7	ABC	3	ima
ima >nsubj človek >obj razum	ima	človek	razum	2	5.7	ABC	3	ima
ima >nsubj ženska >obj otroke	ima	ženska	otroke	2	5.7	ABC	3	ima
imajo >nsubj mediji >obj vpliv	imajo	mediji	vpliv	2	5.7	ABC	3	imajo
imajo >nsubj moški >obj plače	imajo	moški	plače	2	5.7	ABC	3	imajo
imajo >nsubj ženske >obj otroke	imajo	ženske	otroke	2	5.7	ABC	3	imajo
imajo >nsubj ženske >obj plačo	imajo	ženske	plačo	2	5.7	ABC	3	imajo
ljubezen <nsubj igra >obj vloge	ljubezen	igra	vloge	2	5.7	ABC	3	igra
ljudje <nsubj govor <obj vzeli	ljudje	govor	vzeli	2	5.7	ABC	3	vzeli
ljudje <nsubj občutili >obj lepoto	ljudje	občutili	lepoto	2	5.7	ABC	3	občutili
ljudje <nsubj počnejo >obj stvari	ljudje	počnejo	stvari	2	5.7	ABC	3	počnejo
ljudje <nsubj začutili >obj lepoto	ljudje	začutili	lepoto	2	5.7	ABC	3	začutili
mama <nsubj imela >obj časa	mama	imela	časa	2	5.7	ABC	3	imela
mama <nsubj stiskala >obj ustnici	mama	stiskala	ustnici	2	5.7	ABC	3	stiskala
obrat <nsubj pomenil >obj dan	obrat	pomenil	dan	2	5.7	ABC	3	pomenil
odnos <nsubj nima >obj smisla	odnos	nima	smisla	2	5.7	ABC	3	nima
osebi <nsubj doživljata >obj življenje	osebi	doživljata	življenje	2	5.7	ABC	3	doživljata
