Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
ٹیم <nsubj رنز <obj بنا	ٹیم	رنز	بنا	12		ABC	3	بنا
ٹیم <nsubj میچ <obj کھیلے	ٹیم	میچ	کھیلے	9		ABC	3	کھیلے
ٹیم <nsubj رنز <obj بنائے	ٹیم	رنز	بنائے	9		ABC	3	بنائے
قیمت <nsubj روپے <obj رکھی	قیمت	روپے	رکھی	6		ABC	3	رکھی
ٹیم <nsubj کامیابی <obj کی	ٹیم	کامیابی	کی	5		ABC	3	کی
عدالت <nsubj جرمانہ <obj کیا	عدالت	جرمانہ	کیا	5		ABC	3	کیا
حکومت <nsubj بجٹ <obj کیا	حکومت	بجٹ	کیا	5		ABC	3	کیا
قیمت <nsubj روپے <obj ہوگئی	قیمت	روپے	ہوگئی	5		ABC	3	ہوگئی
فلم <nsubj ڈالر <obj کمائے	فلم	ڈالر	کمائے	4		ABC	3	کمائے
ہیکرز <nsubj رسائی <obj کی	ہیکرز	رسائی	کی	4		ABC	3	کی
افسران <nsubj دورے <obj کئے	افسران	دورے	کئے	4		ABC	3	کئے
فیچر <nsubj کام <obj کرے	فیچر	کام	کرے	4		ABC	3	کرے
حکومت <nsubj روپے <obj کیے	حکومت	روپے	کیے	4		ABC	3	کیے
کمپنیاں <nsubj کام <obj کر	کمپنیاں	کام	کر	3		ABC	3	کر
حکومت <nsubj بجلی <obj کی	حکومت	بجلی	کی	3		ABC	3	کی
جواب <obj سائٹ <nsubj بتایا	جواب	سائٹ	بتایا	3		ABC	3	بتایا
فلم <nsubj ہوئی >obj ڈالر	فلم	ہوئی	ڈالر	3		ABC	3	ہوئی
کمپنی <nsubj فون <obj کرائے	کمپنی	فون	کرائے	3		ABC	3	کرائے
حکومت <nsubj قرض <obj لیا	حکومت	قرض	لیا	3		ABC	3	لیا
کمپنی <nsubj کام <obj کررہی	کمپنی	کام	کررہی	3		ABC	3	کررہی
