Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
险例 <nsubj 如 >obj 火灾	险例	如	火灾	30	53.2	ABC	3	如
建议 <nsubj 有 >obj 帮助	建议	有	帮助	14	24.8	ABC	3	有
价格 <nsubj 在 >obj 元	价格	在	元	9	16.0	ABC	3	在
回答 <nsubj 有 >obj 帮助	回答	有	帮助	9	16.0	ABC	3	有
信息 <nsubj 有 >obj 帮助	信息	有	帮助	7	12.4	ABC	3	有
医院 <nsubj 提供 >obj 服务	医院	提供	服务	7	12.4	ABC	3	提供
人 <nsubj 有 >obj 看法	人	有	看法	5	8.9	ABC	3	有
方法 <nsubj 包括 >obj 治疗	方法	包括	治疗	5	8.9	ABC	3	包括
方法 <nsubj 有 >obj 种	方法	有	种	5	8.9	ABC	3	有
费用 <nsubj 在 >obj 元	费用	在	元	5	8.9	ABC	3	在
人 <nsubj 有 >obj 感受	人	有	感受	4	7.1	ABC	3	有
人 <nsubj 有 >obj 特点	人	有	特点	4	7.1	ABC	3	有
人 <nsubj 有 >obj 经历	人	有	经历	4	7.1	ABC	3	有
原因 <nsubj 有 >obj 种	原因	有	种	4	7.1	ABC	3	有
地址 <nsubj 在 >obj 号	地址	在	号	4	7.1	ABC	3	在
小球 <nsubj 做 >obj 运动	小球	做	运动	4	7.1	ABC	3	做
方式 <nsubj 有 >obj 种	方式	有	种	4	7.1	ABC	3	有
方法 <nsubj 有 >obj 帮助	方法	有	帮助	4	7.1	ABC	3	有
方法 <nsubj 解决 >obj 问题	方法	解决	问题	4	7.1	ABC	3	解决
球迷 <nsubj 存在 >obj 关系	球迷	存在	关系	4	7.1	ABC	3	存在
电流 <nsubj 通过 >obj 线圈	电流	通过	线圈	4	7.1	ABC	3	通过
食物 <nsubj 如 >obj 水果	食物	如	水果	4	7.1	ABC	3	如
专业 <nsubj 注重 >obj 学习	专业	注重	学习	3	5.3	ABC	3	注重
专业 <nsubj 研究 >obj 性质	专业	研究	性质	3	5.3	ABC	3	研究
人 <nsubj 具备 >obj 能力	人	具备	能力	3	5.3	ABC	3	具备
人 <nsubj 玩 >obj 游戏	人	玩	游戏	3	5.3	ABC	3	玩
人 <nsubj 解决 >obj 问题	人	解决	问题	3	5.3	ABC	3	解决
信息 <nsubj 包括 >obj 名称	信息	包括	名称	3	5.3	ABC	3	包括
医生 <nsubj 制定 >obj 方案	医生	制定	方案	3	5.3	ABC	3	制定
医生 <nsubj 提供 >obj 建议	医生	提供	建议	3	5.3	ABC	3	提供
医生 <nsubj 进行 >obj 评估	医生	进行	评估	3	5.3	ABC	3	进行
单位 <nsubj 签订 >obj 合同	单位	签订	合同	3	5.3	ABC	3	签订
原因 <nsubj 有 >obj 方面	原因	有	方面	3	5.3	ABC	3	有
员工 <nsubj 超过 >obj 指标	员工	超过	指标	3	5.3	ABC	3	超过
大学 <nsubj 有 >obj 优势	大学	有	优势	3	5.3	ABC	3	有
