Tree	Node A-form	Node B-form	Node C-form	Absolute frequency	Relative frequency	Order	Number of nodes	Head node
疝 <nsubj 需 >obj 月	疝	需	月	16	12.8	ABC	3	需
杯体 <nsubj 加入 >obj 清水	杯体	加入	清水	14	11.2	ABC	3	加入
回答 <nsubj 有 >obj 帮助	回答	有	帮助	12	9.6	ABC	3	有
电脑 <nsubj 生成 >obj 妖人	电脑	生成	妖人	12	9.6	ABC	3	生成
精度 <nsubj 擅长 >obj 脚背	精度	擅长	脚背	10	8.0	ABC	3	擅长
初速 <nsubj 达 >obj 米	初速	达	米	8	6.4	ABC	3	达
商人 <nsubj 贩卖 >obj 配件	商人	贩卖	配件	8	6.4	ABC	3	贩卖
时间 <nsubj 需 >obj 月	时间	需	月	8	6.4	ABC	3	需
背上 <nsubj 有 >obj 刺青	背上	有	刺青	8	6.4	ABC	3	有
蜂蜜 <nsubj 有 >obj 功效	蜂蜜	有	功效	8	6.4	ABC	3	有
企业 <nsubj 贷记 >obj 收入	企业	贷记	收入	6	4.8	ABC	3	贷记
功率 <nsubj 达 >obj 千瓦	功率	达	千瓦	6	4.8	ABC	3	达
射程 <nsubj 达 >obj 千米	射程	达	千米	6	4.8	ABC	3	达
患者 <obj 控制 >nsubj 患者	患者	控制	患者	6	4.8	ABC	3	控制
控制 >obj 分泌 >nsubj 患者	控制	分泌	患者	6	4.8	ABC	3	控制
方法 <nsubj 有 >obj 种	方法	有	种	6	4.8	ABC	3	有
模式 <nsubj 用 >obj 组织	模式	用	组织	6	4.8	ABC	3	用
步 <nsubj 安装 >obj 系统	步	安装	系统	6	4.8	ABC	3	安装
治疗 <obj 控制 >nsubj 患者	治疗	控制	患者	6	4.8	ABC	3	控制
病人 <nsubj 有 >obj 肿大	病人	有	肿大	6	4.8	ABC	3	有
病毒 <nsubj 引起 >obj 疱疹	病毒	引起	疱疹	6	4.8	ABC	3	引起
硬件 <nsubj 有 >obj 问题	硬件	有	问题	6	4.8	ABC	3	有
笑容 <nsubj 充满 >obj 骄傲	笑容	充满	骄傲	6	4.8	ABC	3	充满
结石 <nsubj 如 >obj 结石	结石	如	结石	6	4.8	ABC	3	如
队员 <nsubj 处 >obj 位置	队员	处	位置	6	4.8	ABC	3	处
上面 <nsubj 镶嵌 >obj 人像	上面	镶嵌	人像	4	3.2	ABC	3	镶嵌
个 <nsubj 负责 >obj 事务	个	负责	事务	4	3.2	ABC	3	负责
书 <nsubj 誉 >obj 著作	书	誉	著作	4	3.2	ABC	3	誉
事 <nsubj 付 >obj 笑谈	事	付	笑谈	4	3.2	ABC	3	付
人 <nsubj 形容 >obj 眼睛	人	形容	眼睛	4	3.2	ABC	3	形容
人 <nsubj 想 >obj 人	人	想	人	4	3.2	ABC	3	想
人 <nsubj 有 >obj 点	人	有	点	4	3.2	ABC	3	有
人 <nsubj 来 >obj 次	人	来	次	4	3.2	ABC	3	来
人 <nsubj 没有 >obj 必要	人	没有	必要	4	3.2	ABC	3	没有
人员 <nsubj 提供 >obj 证明	人员	提供	证明	4	3.2	ABC	3	提供
人物 <nsubj 有 >obj 个性	人物	有	个性	4	3.2	ABC	3	有
企业 <nsubj 贷记 >obj 帐款	企业	贷记	帐款	4	3.2	ABC	3	贷记
企业 <nsubj 贷记 >obj 科目	企业	贷记	科目	4	3.2	ABC	3	贷记
企业 <nsubj 转入 >obj 科目	企业	转入	科目	4	3.2	ABC	3	转入
体重 <nsubj 消耗 >obj 热量	体重	消耗	热量	4	3.2	ABC	3	消耗
余额 <nsubj 在 >obj 贷方	余额	在	贷方	4	3.2	ABC	3	在
停长 >nsubj 特技 >obj 盘带	停长	特技	盘带	4	3.2	ABC	3	停长
划分 <nsubj 形成 >obj 特色	划分	形成	特色	4	3.2	ABC	3	形成
办法 <nsubj 涉及 >obj 确定	办法	涉及	确定	4	3.2	ABC	3	涉及
助攻 <obj 技术 <nsubj 进攻	助攻	技术	进攻	4	3.2	ABC	3	进攻
北方 <nsubj 制 >obj 汤	北方	制	汤	4	3.2	ABC	3	制
医生 <nsubj 清洁 >obj 牙齿	医生	清洁	牙齿	4	3.2	ABC	3	清洁
南方 <nsubj 称 >obj 煲	南方	称	煲	4	3.2	ABC	3	称
原因 <nsubj 有 >obj 个	原因	有	个	4	3.2	ABC	3	有
原因 <nsubj 有 >obj 点	原因	有	点	4	3.2	ABC	3	有
君子 <nsubj 善假 >obj 物也	君子	善假	物也	4	3.2	ABC	3	善假
图片 <nsubj 加上 >obj 象素	图片	加上	象素	4	3.2	ABC	3	加上
图片 <nsubj 来 >obj 网络	图片	来	网络	4	3.2	ABC	3	来
地区 <nsubj 出现 >obj 霸主	地区	出现	霸主	4	3.2	ABC	3	出现
地点 <nsubj 扩大 >obj 各地	地点	扩大	各地	4	3.2	ABC	3	扩大
基金 <nsubj 做好 >obj 准备	基金	做好	准备	4	3.2	ABC	3	做好
大家 <nsubj 有 >obj 兴趣	大家	有	兴趣	4	3.2	ABC	3	有
大白鼠 <nsubj 吃 >obj 洋葱	大白鼠	吃	洋葱	4	3.2	ABC	3	吃
天 <nsubj 叫做 >obj 彼岸	天	叫做	彼岸	4	3.2	ABC	3	叫做
夫妻 <nsubj 有 >obj 能力	夫妻	有	能力	4	3.2	ABC	3	有
女性 <nsubj 保持 >obj 青春	女性	保持	青春	4	3.2	ABC	3	保持
孩子 <nsubj 解决 >obj 问题	孩子	解决	问题	4	3.2	ABC	3	解决
宗教 <nsubj 增加 >obj 内容	宗教	增加	内容	4	3.2	ABC	3	增加
家里 <nsubj 有 >obj 钱	家里	有	钱	4	3.2	ABC	3	有
屏幕 <nsubj 出现 >obj 界面	屏幕	出现	界面	4	3.2	ABC	3	出现
工资 <nsubj 执行 >obj 标准	工资	执行	标准	4	3.2	ABC	3	执行
帖子 <nsubj 在 >obj 个	帖子	在	个	4	3.2	ABC	3	在
当局 <nsubj 成立 >obj 部队	当局	成立	部队	4	3.2	ABC	3	成立
必要 <nsubj 写 >obj 经历	必要	写	经历	4	3.2	ABC	3	写
患者 <nsubj 减轻 >obj 生长	患者	减轻	生长	4	3.2	ABC	3	减轻
患者 <nsubj 控制 >obj 分泌	患者	控制	分泌	4	3.2	ABC	3	控制
患者 <nsubj 治疗 <obj 控制	患者	治疗	控制	4	3.2	ABC	3	控制
意见 <nsubj 供 >obj 参考	意见	供	参考	4	3.2	ABC	3	供
戒指 <nsubj 激活 >obj 武器	戒指	激活	武器	4	3.2	ABC	3	激活
手 <nsubj 放 >obj 脑后	手	放	脑后	4	3.2	ABC	3	放
技术 <nsubj 有 >obj 风险	技术	有	风险	4	3.2	ABC	3	有
技能 <nsubj 提高 >obj 点	技能	提高	点	4	3.2	ABC	3	提高
教堂 <nsubj 位 >obj 中心	教堂	位	中心	4	3.2	ABC	3	位
数量 <nsubj 在 >obj 股	数量	在	股	4	3.2	ABC	3	在
新兵 <nsubj 完成 >obj 课程	新兵	完成	课程	4	3.2	ABC	3	完成
方式 <nsubj 分 >obj 种	方式	分	种	4	3.2	ABC	3	分
时间 <nsubj 超过 >obj 年	时间	超过	年	4	3.2	ABC	3	超过
术后 <obj 肿瘤 <nsubj 浸润	术后	肿瘤	浸润	4	3.2	ABC	3	浸润
机构 <nsubj 指 >obj 机构	机构	指	机构	4	3.2	ABC	3	指
机构 <nsubj 配售 >obj 股票	机构	配售	股票	4	3.2	ABC	3	配售
权威 <nsubj 指 >obj 南	权威	指	南	4	3.2	ABC	3	指
桃花 <nsubj 开 >obj 月	桃花	开	月	4	3.2	ABC	3	开
