language	genre	total	svo_count	svo_proportion	non_svo_proportion	entropy
Arabic	AI	3378	448	0.13262285375962107	0.867377146240379	0.4406829854774712
Arabic	Human	4503	977	0.21696646679991116	0.7830335332000888	0.795803121738378
Bulgarian	AI	8249	8113	0.9835131531094679	0.016486846890532147	0.10188756469491232
Bulgarian	Human	14818	13815	0.9323120529086246	0.06768794709137538	0.3046855894756698
Chinese	AI	6255	6240	0.9976019184652278	0.0023980815347721673	0.019411083044307602
Chinese	Human	11935	11550	0.967741935483871	0.032258064516129004	0.1866343131815552
English	AI	5992	5984	0.9986648865153538	0.001335113484646211	0.010674020414879543
English	Human	22437	22328	0.9951419530240229	0.004858046975977137	0.036912375184501675
Indonesian	AI	12134	12087	0.9961265864512939	0.003873413548706073	0.02755886289408313
Indonesian	Human	7946	7809	0.9827586206896551	0.017241379310344862	0.10170263662603346
Russian	AI	5477	5153	0.9408435274785466	0.059156472521453396	0.274737885441216
Russian	Human	8348	6798	0.8143267848586487	0.18567321514135127	0.6893614416517098
Slovenian	AI	3248	2902	0.8934729064039408	0.10652709359605916	0.47216731550243707
Slovenian	Human	1671	1237	0.7402752842609216	0.2597247157390784	0.9307624088985135
Urdu	AI	5729	289	0.050445103857566766	0.9495548961424333	0.3251677482230353
Urdu	Human	4507	458	0.10161970268471267	0.8983802973152873	1.1306855689216284
